game_id,team,player,aid,min,pts,reb,ast,fga,fta,to
401856890,CON,Diamond Miller,4433635,25.0,16.0,3.0,1.0,16.0,5.0,2.0
401856890,CON,Aneesah Morrow,4684384,24.0,15.0,6.0,0.0,15.0,0.0,5.0
401856890,CON,Brittney Griner,2490553,27.0,13.0,6.0,2.0,11.0,1.0,2.0
401856890,CON,Kennedy Burke,3922628,24.0,4.0,3.0,3.0,8.0,0.0,0.0
401856890,CON,Saniya Rivers,4433514,26.0,5.0,2.0,6.0,6.0,2.0,4.0
401856890,CON,Raegan Beers,5105732,11.0,1.0,2.0,0.0,1.0,4.0,0.0
401856890,CON,Olivia Nelson-Ododa,4398966,15.0,1.0,2.0,3.0,2.0,2.0,0.0
401856890,CON,Hailey Van Lith,4433412,14.0,9.0,1.0,4.0,7.0,0.0,2.0
401856890,CON,Charlisse Leger-Walker,4703609,21.0,4.0,2.0,1.0,9.0,1.0,1.0
401856890,CON,Gianna Kneepkens,4898898,13.0,7.0,5.0,1.0,8.0,0.0,0.0
401856890,NY,Breanna Stewart,2998928,28.0,31.0,10.0,2.0,17.0,12.0,4.0
401856890,NY,Jonquel Jones,2999101,25.0,10.0,5.0,1.0,7.0,4.0,2.0
401856890,NY,Betnijah Laney-Hamilton,2593770,28.0,12.0,2.0,4.0,7.0,4.0,2.0
401856890,NY,Marine Johannes,4038379,28.0,17.0,5.0,3.0,13.0,0.0,1.0
401856890,NY,Pauline Astier,5345320,20.0,5.0,2.0,4.0,4.0,3.0,0.0
401856890,NY,Aubrey Griffin,4432844,5.0,2.0,0.0,0.0,1.0,0.0,1.0
401856890,NY,Han Xu,4337216,22.0,8.0,2.0,1.0,8.0,0.0,1.0
401856890,NY,Rebekah Gardner,2327695,22.0,9.0,4.0,0.0,6.0,4.0,2.0
401856890,NY,Julie Vanloo,2566110,22.0,12.0,7.0,11.0,4.0,4.0,3.0
401856891,WSH,Kiki Iriafen,4898384,28.0,12.0,16.0,2.0,9.0,4.0,2.0
401856891,WSH,Shakira Austin,4398911,28.0,18.0,11.0,2.0,13.0,10.0,2.0
401856891,WSH,Sonia Citron,4433524,34.0,26.0,2.0,0.0,12.0,8.0,2.0
401856891,WSH,Georgia Amoore,4704180,20.0,6.0,3.0,3.0,9.0,0.0,5.0
401856891,WSH,Cassandre Prosper,5122345,19.0,2.0,1.0,2.0,5.0,0.0,1.0
401856891,WSH,Angela Dugalic,4433411,12.0,2.0,2.0,0.0,4.0,0.0,1.0
401856891,WSH,Lauren Betts,5105737,12.0,0.0,5.0,1.0,4.0,0.0,0.0
401856891,WSH,Rori Harmon,4433523,20.0,0.0,2.0,2.0,2.0,0.0,3.0
401856891,WSH,Lucy Olsen,4433815,10.0,0.0,0.0,1.0,3.0,0.0,2.0
401856891,WSH,Alex Wilson,5278157,17.0,2.0,2.0,1.0,3.0,0.0,0.0
401856891,TOR,Nyara Sabally,4398768,26.0,8.0,6.0,0.0,8.0,4.0,1.0
401856891,TOR,Temi Fagbenle,2569044,16.0,2.0,1.0,1.0,2.0,2.0,4.0
401856891,TOR,Brittney Sykes,2988756,28.0,14.0,3.0,2.0,18.0,9.0,2.0
401856891,TOR,Marina Mabrey,3904576,30.0,27.0,7.0,2.0,18.0,14.0,4.0
401856891,TOR,Julie Allemand,4001679,30.0,3.0,3.0,2.0,2.0,0.0,0.0
401856891,TOR,Maria Conde,3910470,15.0,2.0,3.0,0.0,4.0,2.0,1.0
401856891,TOR,Teonni Key,4434020,9.0,0.0,3.0,1.0,1.0,2.0,1.0
401856891,TOR,Laura Juskaite,5345444,15.0,7.0,6.0,0.0,6.0,2.0,2.0
