date,player,market,side,line,src,open_odds,now_odds,move_pct,verdict,confidence,line_moved,fade_side,fade_price,captures,span_h,last_utc
2026-08-27,Laura Juskaite,pra,Over,20.5,cascade,2.0,1.8,-10.0,BET (money agrees),BET NOW 93%,,,,166,22.7,2026-08-28T05:42:26Z
2026-08-27,Jordin Canada,pts,Under,11.5,newunder,1.82,1.8,-1.1,BET (money agrees),bet now 81%,,,,164,22.3,2026-08-28T05:42:26Z
2026-08-27,Dearica Hamby,pts,Under,13.5,model,1.95,1.92,-1.5,BET (money agrees),bet now 81%,,,,28,4.1,2026-08-27T11:26:52Z
2026-08-27,Nneka Ogwumike,pts,Under,15.5,newunder,1.83,1.8,-1.6,BET (money agrees),bet now 81%,,,,159,22.3,2026-08-28T05:42:26Z
2026-08-27,Aliyah Boston,pts,Under,16.5,newunder,1.952,1.91,-2.2,BET (money agrees),bet now 81%,,,,62,8.3,2026-08-28T05:42:26Z
2026-08-27,Rae Burrell,pts,Over,14.5,flip_paper,1.8,1.77,-1.7,BET (money agrees),bet now 81%,,,,40,5.5,2026-08-28T05:42:26Z
2026-08-27,Alyssa Thomas,pts,Over,14.5,flip_paper,1.88,1.88,0.0,BET (steady),ok 85%,,,,8,2.1,2026-08-27T09:03:38Z
2026-08-27,Kahleah Copper,pts,Under,19.5,newunder,1.88,1.87,-0.5,BET (steady),bet now 81%,,,,15,2.1,2026-08-27T09:03:38Z
2026-08-27,Kiki Iriafen,pts,Over,15.5,flip_paper,1.78,1.78,0.0,BET (steady),ok 85%,14.5->15.5,,,4,0.5,2026-08-28T05:42:26Z
2026-08-27,Saniya Rivers,pra,Over,11.5,cascade,1.75,1.75,0.0,BET (steady),ok 85%,,,,170,22.7,2026-08-28T05:42:26Z
2026-08-27,Diamond Miller,pra,Over,15.5,cascade,1.75,1.75,0.0,BET (steady),ok 85%,,,,170,22.7,2026-08-28T05:42:26Z
2026-08-27,Aaliyah Edwards,pra,Over,17.5,cascade,1.75,1.75,0.0,BET (steady),ok 85%,,,,170,22.7,2026-08-28T05:42:26Z
2026-08-27,Kiki Rice,pra,Over,21.5,cascade,1.75,1.75,0.0,BET (steady),ok 85%,,,,170,22.7,2026-08-28T05:42:26Z
2026-08-27,Jackie Young,pts,Over,20.5,flip_paper,1.8,1.79,-0.6,BET (steady),bet now 81%,19.5->20.5,,,39,5.3,2026-08-28T05:42:26Z
2026-08-27,Angel Reese,pts,Under,18.5,newunder,1.82,1.833,0.7,BET (steady),ok 85%,,,,166,22.3,2026-08-28T05:42:26Z
2026-08-27,Megan DiLeo,pts,Under,14.5,newunder,1.79,1.8,0.6,BET (steady),ok 85%,,,,166,22.3,2026-08-28T05:42:26Z
2026-08-27,Caitlin Clark,pts,Under,23.5,newunder,1.79,1.8,0.6,BET (steady),ok 85%,,,,100,13.7,2026-08-27T21:02:06Z
2026-08-27,Chelsea Gray,pts,Under,12.5,newunder,1.89,1.89,0.0,BET (steady),ok 85%,10.5->12.5,,,39,5.3,2026-08-28T05:42:26Z
2026-08-27,Sabrina Ionescu,pts,Under,17.5,newunder,1.85,1.85,0.0,BET (steady),ok 85%,,,,115,15.4,2026-08-27T23:42:26Z
2026-08-27,Janelle Salaun,pts,Under,12.5,newunder,2.0,2.0,0.0,BET (steady),ok 85%,,,,115,15.4,2026-08-27T23:42:26Z
2026-08-27,Dearica Hamby,pra,Under,22.5,model,1.87,1.87,0.0,BET (steady),ok 85%,,,,134,18.1,2026-08-28T05:42:26Z
