season,mid,slug,hscore,ascore,ml_h,ml_a,spread,sp_h,sp_a,total,ou_o,ou_u,n_bk_sp,n_bk_ou
2019,x8EBbIuf,washington-mystics-connecticut-sun,89,78,1.31,3.43,-6.5,1.9,1.92,174.5,1.92,1.9,10,11
2019,06uXOmOf,connecticut-sun-washington-mystics,90,86,1.81,2.02,-1.5,1.91,1.9,174.5,1.89,1.91,11,12
2019,zkL7nwVk,connecticut-sun-washington-mystics,81,94,1.65,2.30,-5.5,1.97,1.83,172.5,1.91,1.91,11,12
2019,fw4AmJFq,washington-mystics-connecticut-sun,87,99,1.26,3.91,-7.5,1.85,1.95,170.5,1.88,1.96,11,11
2019,b7IvguhM,washington-mystics-connecticut-sun,95,86,1.26,3.88,-8.5,1.94,1.9,165.5,1.82,1.99,11,12
2019,KUjJvGK2,las-vegas-aces-washington-mystics,90,94,2.52,1.54,4.5,1.9,1.92,180.5,1.92,1.89,11,12
2019,KrM2BoLA,los-angeles-sparks-connecticut-sun,56,78,1.39,3.02,-5.5,1.9,1.93,161.5,1.9,1.91,11,12
2019,QLMbCR54,las-vegas-aces-washington-mystics,92,75,2.44,1.56,3.5,1.95,1.88,181.5,1.91,1.91,11,12
2019,CIIfD7jb,connecticut-sun-los-angeles-sparks,94,68,1.80,2.02,-1.5,1.91,1.91,161.5,1.75,2.02,11,10
2019,UgTkEmyh,washington-mystics-las-vegas-aces,103,91,1.17,4.96,-9.5,1.88,1.93,176.5,1.75,2.06,11,12
2019,j3UoFTLo,connecticut-sun-los-angeles-sparks,84,75,1.81,2.02,-2.5,1.99,1.83,161.5,1.83,1.98,11,11
2019,2my4jpqo,washington-mystics-las-vegas-aces,97,95,1.16,5.20,-9.5,1.85,1.95,170.5,1.8,1.99,10,11
2019,QPO0FFBE,las-vegas-aces-chicago-sky,93,92,1.54,2.51,-4.5,1.97,1.84,175.5,1.86,1.95,11,10
2019,r1J5EZQK,los-angeles-sparks-seattle-storm,92,69,1.31,3.46,-7.5,1.95,1.82,154.5,1.9,1.91,11,11
2019,r7QIW8HB,chicago-sky-phoenix-mercury,105,76,1.35,3.25,-6.5,1.89,1.93,169.5,1.73,2.04,11,10
2019,thqMVSWH,seattle-storm-minnesota-lynx,84,74,1.74,2.12,-2.5,1.95,1.85,149.5,1.9,1.91,11,11
2019,OvB8L8AL,team-wilson-team-delle-donne,129,126,,,,,,,,,0,0
