season,match,hscore,ascore,odd_home,odd_away
2019,washington-mystics-connecticut-sun,89,78,1.31,3.43
2019,connecticut-sun-washington-mystics,90,86,1.81,2.02
2019,connecticut-sun-washington-mystics,81,94,1.65,2.30
2019,washington-mystics-connecticut-sun,87,99,1.26,3.91
2019,washington-mystics-connecticut-sun,95,86,1.26,3.88
2019,las-vegas-aces-washington-mystics,90,94,2.52,1.54
2019,los-angeles-sparks-connecticut-sun,56,78,1.39,3.02
2019,las-vegas-aces-washington-mystics,92,75,2.44,1.56
2019,connecticut-sun-los-angeles-sparks,94,68,1.80,2.02
2019,washington-mystics-las-vegas-aces,103,91,1.17,4.96
2019,connecticut-sun-los-angeles-sparks,84,75,1.81,2.02
2019,washington-mystics-las-vegas-aces,97,95,1.16,5.20
2019,las-vegas-aces-chicago-sky,93,92,1.54,2.51
2019,los-angeles-sparks-seattle-storm,92,69,1.31,3.46
2019,chicago-sky-phoenix-mercury,105,76,1.35,3.25
2019,seattle-storm-minnesota-lynx,84,74,1.74,2.12
2020,seattle-storm-las-vegas-aces,92,59,1.28,3.55
2020,las-vegas-aces-seattle-storm,91,104,3.37,1.31
2020,las-vegas-aces-seattle-storm,80,93,3.01,1.37
2020,las-vegas-aces-connecticut-sun,66,63,1.64,2.26
2020,connecticut-sun-las-vegas-aces,75,84,2.30,1.62
2020,minnesota-lynx-seattle-storm,71,92,3.93,1.24
2020,connecticut-sun-las-vegas-aces,77,68,3.23,1.33
2020,seattle-storm-minnesota-lynx,89,79,1.26,3.72
2020,las-vegas-aces-connecticut-sun,83,75,1.39,2.94
2020,seattle-storm-minnesota-lynx,88,86,1.22,4.07
2020,las-vegas-aces-connecticut-sun,62,87,1.35,3.09
2020,los-angeles-sparks-connecticut-sun,59,73,1.44,2.75
2020,minnesota-lynx-phoenix-mercury,80,79,1.50,2.57
2020,chicago-sky-connecticut-sun,81,94,1.75,2.07
2020,phoenix-mercury-washington-mystics,85,84,1.45,2.69
2021,chicago-sky-phoenix-mercury,80,74,1.50,2.62
2021,chicago-sky-phoenix-mercury,86,50,1.64,2.29
2021,phoenix-mercury-chicago-sky,77,91,1.66,2.22
2021,las-vegas-aces-phoenix-mercury,84,87,1.40,2.97
2021,chicago-sky-connecticut-sun,79,69,2.54,1.53
2021,phoenix-mercury-las-vegas-aces,76,93,1.85,1.95
2021,chicago-sky-connecticut-sun,86,83,2.56,1.53
2021,phoenix-mercury-las-vegas-aces,87,60,2.06,1.77
2021,connecticut-sun-chicago-sky,79,68,1.27,3.67
2021,las-vegas-aces-phoenix-mercury,91,117,1.37,3.11
2021,las-vegas-aces-phoenix-mercury,96,90,1.33,3.29
2021,minnesota-lynx-chicago-sky,76,89,1.50,2.61
2021,chicago-sky-dallas-wings,81,64,1.44,2.77
2021,phoenix-mercury-new-york-liberty,83,82,1.18,4.85
2022,connecticut-sun-las-vegas-aces,71,78,2.06,1.77
2022,connecticut-sun-las-vegas-aces,105,76,1.80,2.00
2022,las-vegas-aces-connecticut-sun,85,71,1.46,2.72
2022,las-vegas-aces-connecticut-sun,67,64,1.38,3.02
2022,chicago-sky-connecticut-sun,63,72,1.51,2.57
2022,connecticut-sun-chicago-sky,104,80,1.80,2.01
2022,seattle-storm-las-vegas-aces,92,97,1.82,1.98
2022,connecticut-sun-chicago-sky,72,76,1.90,1.86
2022,chicago-sky-connecticut-sun,85,77,1.43,2.83
2022,las-vegas-aces-seattle-storm,78,73,1.37,3.05
