logged_utc,date,home,away,tip,v3_margin,v5_margin,tot_pred,pin_spread,pin_total,pin_ml,outs
2026-07-11T16:41:45Z,2026-07-11,MIN,NY,17:00,2.51,2.13,164.4,"-6.5@114,-138","175.0@107,-135","@-199,168",
2026-07-11T16:41:45Z,2026-07-11,ATL,POR,20:00,9.52,10.07,177.3,"-15.0@118,-144","175.0@106,-133","@-849,622",
2026-07-11T16:41:45Z,2026-07-11,LV,PHX,22:00,9.03,8.17,163.5,"-11.5@120,-146","171.0@106,-138","@-431,343",
2026-07-11T16:47:11Z,2026-07-11,MIN,NY,17:00,2.51,2.13,174.5,"-6.5@114,-138","175.0@107,-135","@-199,168",
2026-07-11T16:47:11Z,2026-07-11,ATL,POR,20:00,9.52,10.07,185.0,"-15.0@118,-144","175.0@106,-133","@-849,622",
2026-07-11T16:47:11Z,2026-07-11,LV,PHX,22:00,9.03,8.17,173.4,"-11.5@120,-146","171.0@106,-138","@-431,343",
2026-07-11T17:06:28Z,2026-07-11,ATL,POR,20:00,9.52,10.07,185.4,"-15.0@118,-144","175.0@106,-133","@-849,622",
2026-07-11T17:06:28Z,2026-07-11,LV,PHX,22:00,9.03,8.17,173.6,"-11.5@120,-146","171.0@106,-138","@-431,343",
2026-07-11T18:30:59Z,2026-07-11,ATL,POR,20:00,9.52,10.07,185.8,"-15.0@118,-144","175.0@106,-133","@-849,622",
2026-07-11T18:30:59Z,2026-07-11,LV,PHX,22:00,9.03,8.17,173.7,"-11.5@122,-149","171.0@103,-134","@-426,340",
