logged_utc,date,home,away,tip,v3_margin,v5_margin,tot_pred,pin_spread,pin_total,pin_ml,outs
2026-07-11T16:41:45Z,2026-07-11,MIN,NY,17:00,2.51,2.13,164.4,"-6.5@114,-138","175.0@107,-135","@-199,168",
2026-07-11T16:41:45Z,2026-07-11,ATL,POR,20:00,9.52,10.07,177.3,"-15.0@118,-144","175.0@106,-133","@-849,622",
2026-07-11T16:41:45Z,2026-07-11,LV,PHX,22:00,9.03,8.17,163.5,"-11.5@120,-146","171.0@106,-138","@-431,343",
2026-07-11T16:47:11Z,2026-07-11,MIN,NY,17:00,2.51,2.13,174.5,"-6.5@114,-138","175.0@107,-135","@-199,168",
2026-07-11T16:47:11Z,2026-07-11,ATL,POR,20:00,9.52,10.07,185.0,"-15.0@118,-144","175.0@106,-133","@-849,622",
2026-07-11T16:47:11Z,2026-07-11,LV,PHX,22:00,9.03,8.17,173.4,"-11.5@120,-146","171.0@106,-138","@-431,343",
2026-07-11T17:06:28Z,2026-07-11,ATL,POR,20:00,9.52,10.07,185.4,"-15.0@118,-144","175.0@106,-133","@-849,622",
2026-07-11T17:06:28Z,2026-07-11,LV,PHX,22:00,9.03,8.17,173.6,"-11.5@120,-146","171.0@106,-138","@-431,343",
2026-07-11T18:30:59Z,2026-07-11,ATL,POR,20:00,9.52,10.07,185.8,"-15.0@118,-144","175.0@106,-133","@-849,622",
2026-07-11T18:30:59Z,2026-07-11,LV,PHX,22:00,9.03,8.17,173.7,"-11.5@122,-149","171.0@103,-134","@-426,340",
2026-07-12T18:31:47Z,2026-07-12,TOR,NY,19:00,-5.63,-8.25,177.2,"6.0@105,-131","179.5@104,-131","@227,-274",
2026-07-12T18:31:47Z,2026-07-12,WSH,SEA,19:00,0.51,1.44,182.7,"-7.5@122,-154","163.5@-101,-125","@-223,187",
2026-07-12T18:31:47Z,2026-07-12,DAL,CHI,23:00,3.76,2.92,181.2,"-10.0@-108,-116","179.0@102,-129","@-457,362",
2026-07-12T18:31:47Z,2026-07-13,LV,IND,01:00,3.89,5.23,175.2,"-5.5@108,-135","180.5@102,-128","@-189,160",
2026-07-12T23:33:38Z,2026-07-13,LV,IND,01:00,3.89,5.23,174.6,"-6.5@104,-131","181.5@105,-133","@-221,186",
2026-07-13T18:58:43Z,2026-07-13,ATL,LA,23:00,7.8,8.26,187.4,"-9.5@113,-142","182.0@103,-129","@-340,277",,0.213,119.4,0.1112,-0.0221,0.008,-0.0046,2.268,173.33,0.0171,-0.0386,174.43,Rhyne Howard|Jordin Canada,Nneka Ogwumike|Dearica Hamby,200.0,200.0,0,18.46|0.002796|15.6|11.8|2.055,22.51|13.95|19.85|-7.74|1.352|-0.1885|2.055,1.054|29.59|12.98|-169.8
2026-07-13T18:58:43Z,2026-07-14,MIN,PHX,01:00,12.78,12.41,176.6,"-13.5@120,-146","171.5@108,-135","@-689,520",,0.498,206.6,0.0997,-0.05,0.259,0.2653,2.588,162.99,-0.0152,0.0487,174.43,Kayla McBride|Natasha Howard,Alyssa Thomas|Kahleah Copper,200.0,200.0,0,18.46|0.002796|15.6|11.8|2.055,22.51|13.95|19.85|-7.74|1.352|-0.1885|2.055,1.054|29.59|12.98|-169.8
2026-07-13T23:31:24Z,2026-07-14,MIN,PHX,01:00,12.78,12.41,176.8,"-13.0@116,-140","171.5@111,-139","@-681,514",,0.498,206.6,0.0997,-0.05,0.259,0.2653,2.588,162.99,-0.0152,0.0487,174.43,Kayla McBride|Natasha Howard,Alyssa Thomas|Kahleah Copper,200.0,200.0,0,18.46|0.002796|15.6|11.8|2.055,22.51|13.95|19.85|-7.74|1.352|-0.1885|2.055,1.075|28.62|13.18|-173.1
2026-07-14T18:43:39Z,2026-07-14,TOR,WSH,23:00,3.04,0.21,183.7,"-1.5@112,-136","173.0@105,-132","@103,-120",,0.034,12.1,-0.0636,0.1122,0.3,0.0251,3.293,168.14,-0.0197,0.0854,175.15,Maria Conde|Julie Allemand,Sonia Citron|Kiki Iriafen,200.0,200.0,0,18.46|0.002796|15.6|11.8|2.055,22.51|13.95|19.85|-7.74|1.352|-0.1885|2.055,1.096|27.69|13.37|-176.3
