game_id,provider,spread,overUnder,homeML,awayML
401867793,DraftKings,-6.5,158.5,-258,210
401867795,DraftKings,-6.5,162.5,-290,235
401866519,DraftKings,8.5,165.5,310,-395
401866520,DraftKings,3.5,172.5,145,-175
401866521,DraftKings,8.5,172.5,285,-360
401856890,DraftKings,-9.5,160.5,-600,440
401856891,DraftKings,-1.5,160.5,-115,-105
401856892,DraftKings,5.5,157.5,195,-238
401856893,DraftKings,-5.5,179.5,-245,200
401856894,DraftKings,-9.5,168.5,-455,350
401856899,DraftKings,5.5,160.5,180,-218
401856895,DraftKings,5.5,163.5,185,-225
401856896,DraftKings,-1.5,164.5,-125,105
401856897,DraftKings,5.5,165.5,190,-230
401856898,DraftKings,1.5,178.5,105,-125
401856900,DraftKings,-2.5,158.5,-135,114
401856901,DraftKings,1.5,180.5,105,-125
401856902,DraftKings,-4.5,168.5,-205,170
401856903,DraftKings,11.5,174.5,575,-850
401856904,DraftKings,-3.5,168.5,-155,130
401856905,DraftKings,14.5,172.5,700,-1100
401856906,DraftKings,-5.5,166.5,-250,205
401856907,DraftKings,1.5,186.5,-105,-115
401856908,DraftKings,-3.5,178.5,-166,140
401856909,DraftKings,11.5,174.5,455,-625
401856910,DraftKings,15.5,172.5,800,-1350
401856911,DraftKings,-8.5,170.5,-395,310
401856912,DraftKings,-7.5,170.5,-340,270
401856913,DraftKings,-4.5,165.5,-180,150
401856915,DraftKings,3.5,171.5,136,-162
401856916,DraftKings,-11.5,176.5,-675,490
401856914,DraftKings,-5.5,166.5,-245,200
401856917,DraftKings,-7.5,173.5,-325,260
401856918,DraftKings,-4.5,170.5,-185,154
401856919,DraftKings,-3.5,174.5,-170,142
401856920,DraftKings,-7.5,169.5,-325,260
401856921,DraftKings,-10.5,175.5,-470,360
401856922,DraftKings,2.5,170.5,124,-148
401856923,DraftKings,-2.5,169.5,-142,120
401856924,DraftKings,-5.5,169.5,-238,195
401856925,DraftKings,-5.5,172.5,-225,185
401856926,DraftKings,-2.5,178.5,-142,120
401856927,DraftKings,-5.5,173.5,-198,164
401856928,DraftKings,-5.5,167.5,-205,170
401856929,DraftKings,-1.5,165.5,-130,110
401856930,DraftKings,1.5,168.5,105,-125
401856931,DraftKings,-4.5,173.5,-205,170
401856932,DraftKings,-9.5,181.5,-425,330
401856933,DraftKings,-5.5,168.5,-238,195
401856934,DraftKings,-5.5,179.5,-245,200
401856935,DraftKings,4.5,157.5,170,-205
401856936,DraftKings,-10.5,172.5,-470,360
401856937,DraftKings,-13.5,159.5,-850,575
401856938,DraftKings,-4.5,169.5,-180,150
401856939,DraftKings,-4.5,173.5,-198,164
401856940,DraftKings,3.5,165.5,124,-148
401856941,DraftKings,-7.5,166.5,-270,220
401856942,DraftKings,3.5,160.5,136,-162
401856943,DraftKings,5.5,177.5,170,-205
401856944,DraftKings,-2.5,167.5,-130,110
401856945,DraftKings,-5.5,170.5,-225,185
401856946,DraftKings,-2.5,164.5,-142,120
401856947,DraftKings,4.5,172.5,160,-192
401856948,DraftKings,8.5,163.5,285,-360
401856949,DraftKings,-6.5,171.5,-230,190
401856950,DraftKings,3.5,168.5,150,-180
401856951,DraftKings,11.5,173.5,410,-550
401856952,DraftKings,1.5,167.5,105,-125
401856953,DraftKings,-13.5,166.5,-700,500
401856954,DraftKings,2.5,166.5,124,-148
401856955,DraftKings,-13.5,160.5,-1100,700
401856956,DraftKings,1.5,161.5,110,-130
401856957,DraftKings,-9.5,159.5,-375,295
401856958,DraftKings,7.5,176.5,230,-285
401856959,DraftKings,-8.5,172.5,-360,285
401856960,DraftKings,7.5,160.5,220,-270
401856961,DraftKings,-1.5,174.5,-112,-108
401856962,DraftKings,-3.5,168.5,-175,145
401856963,DraftKings,-6.5,164.5,-265,215
401856964,DraftKings,2.5,178.5,110,-130
401856965,DraftKings,-4.5,160.5,-180,150
401856966,DraftKings,-13.5,162.5,-1000,650
401856967,DraftKings,-2.5,167.5,-155,130
401856968,DraftKings,-8.5,160.5,-425,330
401856969,DraftKings,-3.5,174.5,-155,130
401856970,DraftKings,-3.5,175.5,-162,136
401856971,DraftKings,-7.5,174.5,-290,235
401856972,DraftKings,12.5,162.5,575,-850
401856973,DraftKings,5.5,171.5,185,-225
401856974,DraftKings,-15.5,162.5,-1350,800
401856975,DraftKings,9.5,165.5,320,-410
401856976,DraftKings,-4.5,170.5,-185,154
401856977,DraftKings,-7.5,162.5,-325,260
401856978,DraftKings,-8.5,167.5,-380,300
401856979,DraftKings,7.5,170.5,245,-305
401856980,DraftKings,-9.5,171.5,-440,340
401856981,DraftKings,-3.5,165.5,-155,130
401856982,DraftKings,-6.5,169.5,-270,220
401856983,DraftKings,11.5,170.5,390,-520
401856984,DraftKings,-1.5,169.5,-118,-102
401856985,DraftKings,9.5,157.5,350,-455
401856986,DraftKings,8.5,170.5,320,-410
401856987,DraftKings,-3.5,174.5,-155,130
401856988,DraftKings,3.5,167.5,140,-166
401856989,DraftKings,1.5,171.5,100,-120
401856990,DraftKings,-13.5,167.5,-850,575
401856991,DraftKings,7.5,170.5,235,-290
401856992,DraftKings,2.5,177.5,130,-155
401856993,DraftKings,-14.5,169.5,-1100,700
401856994,DraftKings,-5.5,173.5,-205,170
401856995,DraftKings,-8.5,180.5,-410,320
401856996,DraftKings,-2.5,159.5,-125,105
401856997,DraftKings,10.5,169.5,380,-500
401856998,DraftKings,-3.5,164.5,-155,130
401856999,DraftKings,10.5,174.5,425,-575
401857000,DraftKings,6.5,171.5,225,-278
401857001,DraftKings,-4.5,163.5,-180,150
401857002,DraftKings,1.5,173.5,-105,-115
401857003,DraftKings,-1.5,168.5,-130,110
401857004,DraftKings,-12.5,168.5,-800,550
401857005,DraftKings,2.5,166.5,136,-162
401857006,DraftKings,-4.5,176.5,-185,154
401857007,DraftKings,-6.5,163.5,-265,215
401857008,DraftKings,-10.5,174.5,-520,390
401857009,DraftKings,-3.5,167.5,-180,150
401857010,DraftKings,-14.5,169.5,-1000,650
401857011,DraftKings,5.5,181.5,180,-218
401857012,DraftKings,3.5,169.5,136,-162
401857013,DraftKings,-14.5,178.5,-1200,750
401857014,DraftKings,-7.5,177.5,-290,235
401857015,DraftKings,9.5,169.5,320,-410
401857016,DraftKings,-2.5,177.5,-135,114
401857017,DraftKings,-8.5,176.5,-395,310
401857018,DraftKings,8.5,170.5,330,-425
401857019,DraftKings,-3.5,172.5,-170,142
401857020,DraftKings,1.5,166.5,110,-130
401857021,DraftKings,1.5,180.5,-102,-118
401857022,DraftKings,-6.5,179.5,-238,195
401857023,DraftKings,8.5,167.5,280,-355
401857024,DraftKings,3.5,164.5,145,-175
401857025,DraftKings,-6.5,173.5,-245,200
401857026,DraftKings,1.5,163.5,110,-130
401857027,DraftKings,-5.5,178.5,-218,180
401857028,DraftKings,-6.5,182.5,-270,220
401857029,DraftKings,9.5,168.5,310,-395
401857030,DraftKings,3.5,178.5,136,-162
401857031,DraftKings,-6.5,167.5,-278,225
401857032,DraftKings,7.5,181.5,245,-305
401857033,DraftKings,-1.5,164.5,-118,-102
401857321,DraftKings,-6.5,174.5,-245,200
401857034,DraftKings,8.5,166.5,320,-410
401857035,DraftKings,6.5,171.5,240,-298
401857036,DraftKings,-4.5,170.5,-175,145
401857037,DraftKings,2.5,174.5,114,-135
401857038,DraftKings,-4.5,179.5,-185,154
401857039,DraftKings,-5.5,162.5,-192,160
401857040,DraftKings,-4.5,173.5,-185,154
401857041,DraftKings,6.5,185.5,190,-230
401857042,DraftKings,-2.5,180.5,-155,130
401857043,DraftKings,7.5,155.5,240,-298
401857044,DraftKings,-11.5,165.5,-800,550
401857045,DraftKings,-4.5,176.5,-180,150
401857046,DraftKings,-4.5,175.5,-175,145
401857047,DraftKings,-4.5,172.5,-175,145
401857048,DraftKings,8.5,165.5,270,-340
401857049,DraftKings,7.5,165.5,260,-325
401857050,DraftKings,5.5,181.5,195,-238
401857051,DraftKings,-12.5,169.5,-675,490
401857052,DraftKings,1.5,171.5,102,-122
401857053,DraftKings,9.5,175.5,370,-485
401857054,DraftKings,5.5,153.5,195,-238
401857055,DraftKings,7.5,178.5,270,-340
401857056,DraftKings,-1.5,177.5,-122,102
401857057,DraftKings,-4.5,173.5,-198,164
401857059,DraftKings,-12.5,174.5,-750,525
401857058,DraftKings,-8.5,168.5,-380,300
401857060,DraftKings,7.5,178.5,230,-285
401857061,DraftKings,-6.5,162.5,-230,190
401857062,DraftKings,-9.5,176.5,-470,360
401857063,DraftKings,-4.5,181.5,-205,170
401857064,DraftKings,-9.5,181.5,-395,310
401857065,DraftKings,-11.5,169.5,-750,525
401857066,DraftKings,-2.5,166.5,-142,120
401857067,DraftKings,1.5,171.5,105,-125
401857068,DraftKings,-3.5,169.5,-162,136
