game_id,season,margin,total,pstr,pnews,telo,zone,rest,b2b,form5,pace_d,pace_s,tov,oreb,ftr,p3ar,p3pct,stk,bench,drop
401129939,2019,5.0,179.0,0.2174,0.241,20.3,0,0,0,32.37,-3.03,161.43,-0.0245,0.0156,-0.2447,0.1441,-0.0035,7.05,0.4134,-0.2758
401129940,2019,-4.0,138.0,0.3633,0.3391,31.4,0,0,0,57.0,-2.88,168.96,-0.0297,0.0309,-0.0286,0.0857,0.2821,0.0,0.1811,0.2917
401129942,2019,11.0,141.0,0.0594,0.0627,25.4,0,0,0,22.0,4.56,168.4,-0.1189,0.0699,-0.0867,0.0168,-0.0637,4.0,0.1858,-0.1405
401129943,2019,-11.0,139.0,0.1777,0.1951,23.9,0,-2,0,20.53,1.55,165.15,-0.0267,0.148,-0.0584,0.0292,0.082,5.32,0.1143,0.1346
401129944,2019,7.0,177.0,-0.0768,-0.0894,0.3,0,3,0,-4.0,4.84,155.4,0.1176,-0.0147,0.2159,0.083,0.05,6.0,-0.1506,0.1325
401129945,2019,-19.0,177.0,-0.0967,-0.1207,-22.5,0,0,0,-21.76,-2.61,168.02,0.0502,-0.0477,0.1849,-0.0165,0.0999,-0.09,-0.2837,0.2879
401129946,2019,-5.0,137.0,-0.1996,-0.1886,-25.4,0,2,0,-19.79,-3.68,170.21,0.0002,-0.0652,0.1006,0.1165,-0.1357,-7.95,-0.1166,-0.118
401104913,2019,4.0,148.0,0.2289,0.2463,18.0,0,0,0,11.87,-1.4,160.37,-0.0506,-0.0013,0.0032,0.0343,0.0843,2.54,0.2479,-0.0343
401104914,2019,-1.0,161.0,-0.1302,-0.2224,-57.1,0,0,0,-19.81,-1.72,163.44,0.0007,-0.0498,0.0829,0.0848,0.1002,-6.32,-0.2299,-0.0219
401104915,2019,9.0,145.0,-0.0306,0.0515,-25.0,0,0,0,-10.0,2.45,161.03,-0.0307,0.132,-0.0484,-0.0858,-0.0576,-5.68,0.1029,-0.0971
401104916,2019,15.0,153.0,0.1055,0.1248,21.2,0,0,0,13.37,6.14,159.59,-0.0101,0.1729,-0.0083,0.0119,-0.0013,3.78,0.0871,0.0831
401104917,2019,18.0,160.0,0.24,0.3406,33.2,0,0,0,16.42,-1.3,167.34,-0.1033,0.1772,-0.0294,0.0275,-0.0873,-6.47,-0.1816,0.6524
401104918,2019,13.0,153.0,0.0421,0.0806,-7.2,0,0,0,-4.37,-5.41,164.93,-0.0248,0.0431,0.2105,-0.1162,-0.0899,-7.42,-0.0555,0.1825
401104919,2019,11.0,165.0,0.1244,0.1722,5.3,0,-1,0,9.08,0.45,163.71,-0.0435,-0.0089,-0.091,0.0921,0.0349,-2.54,0.1042,0.0953
401104920,2019,11.0,133.0,0.1349,0.2098,27.5,0,0,0,9.96,2.64,164.92,-0.0106,0.0484,0.0371,-0.0055,-0.0993,-0.16,-0.1906,0.5376
401104921,2019,-16.0,148.0,0.1448,0.1207,20.7,0,3,0,7.47,0.45,160.42,-0.0281,-0.0442,0.1033,0.0676,0.0119,0.89,0.46,-0.4885
401104922,2019,2.0,170.0,-0.1119,-0.1113,2.7,0,0,0,-5.18,-6.56,162.35,0.0397,-0.0433,-0.1394,0.1598,0.0734,2.24,0.1099,-0.3571
401104923,2019,7.0,147.0,-0.2394,-0.3553,-54.2,0,2,0,-19.04,4.25,167.24,0.0544,-0.1228,-0.0195,-0.0459,0.0647,5.53,0.0258,-0.5946
401104924,2019,15.0,169.0,0.1573,0.1987,57.7,0,-1,0,10.82,-0.35,162.48,-0.0308,-0.0013,-0.1099,-0.0675,-0.1018,3.71,-0.0307,0.3795
401104925,2019,21.0,171.0,0.0326,0.0317,5.8,0,4,-1,-3.35,-3.93,158.76,-0.0172,-0.076,-0.0819,-0.0425,-0.0144,-4.03,-0.2584,0.4548
