game_id,season,margin,total,pstr,pnews,telo,zone,rest,b2b,form5,pace_d,pace_s,tov,oreb,ftr,p3ar,p3pct,stk,bench,drop,fluid,pmr,pfr,ftp,blkr,q4,road,m_scdef,m_pade,m_rb,m_vo,m_all5,lgenv
401525954,2023,-8.0,156.0,-0.0847,-0.0839,-5.1,0.246,0,0,-7.79,5.96,156.04,-0.0173,-0.1021,0.2195,0.1593,-0.2695,-7.74,-0.1073,0.0007,-0.0501,-0.0458,-3.8421,-0.319,-1.5263,0.1594,0,-0.2127,-0.2647,0.002,-0.0259,-0.3,162
401537462,2023,7.0,173.0,-0.1918,-0.2027,-19.4,-7.813,0,0,-30.0,2.52,156.68,0.0818,-0.2221,-0.2468,-0.0871,0.0308,-2.0,-0.0582,-0.1942,-0.1784,-0.3029,-1.0,-0.1813,-3.0,-0.319,0,-0.1611,-0.223,-0.1777,-0.2189,-0.6835,162
401537464,2023,-17.0,153.0,-0.0971,-0.1233,-14.2,-9.074,0,0,-18.0,16.24,170.72,0.0029,-0.0103,-0.1106,0.0538,-0.125,-1.0,0.0832,-0.3327,-0.0865,-0.2232,-3.0,0.0868,0.0,0.6064,0,-0.1402,-0.2313,-0.0433,0.0305,-0.2724,162
401507130,2023,-9.0,131.0,-0.0541,-0.0261,-29.8,-7.336,0,0,-19.95,-2.63,162.97,-0.0084,-0.1244,-0.0034,0.0307,0.0304,-3.21,-0.2693,0.2522,0.0873,-0.354,-2.8947,0.0532,-3.1579,0.1163,1,-0.0922,-0.2398,-0.0977,-0.0688,-0.2538,162
401507131,2023,16.0,144.0,0.0565,0.212,16.1,1.156,0,0,11.42,7.94,162.71,-0.0342,0.0181,-0.0123,-0.1041,-0.0398,6.68,-0.0231,0.3005,0.1699,0.5361,2.0526,0.0697,3.7895,-1.0463,2,0.4338,0.2457,-0.1217,0.0393,0.3674,162
401507132,2023,-11.0,143.0,-0.0598,0.0305,-25.8,1.273,0,0,-12.55,2.02,158.0,-0.0418,-0.1363,0.182,0.0749,-0.1333,-2.73,0.0631,-0.0627,0.0861,-0.0714,-1.529,-0.1373,-0.8602,-0.0218,1,-0.1247,-0.1347,-0.0928,0.0718,-0.0897,162
401507133,2023,23.0,165.0,0.1557,0.2397,28.0,7.08,0,0,26.16,5.17,159.79,-0.0429,-0.0553,-0.0493,-0.1311,0.097,-0.05,0.2029,0.0008,0.2217,0.3397,1.0,-0.2234,-3.5789,0.1181,0,0.011,0.0883,-0.0067,0.0225,0.238,162
401507134,2023,-41.0,169.0,-0.0979,-0.1896,-14.9,-3.201,0,0,-13.0,-6.48,158.48,-0.0776,0.0528,0.1159,0.0,-0.16,6.0,-0.4552,0.3714,-0.1618,-0.2189,3.0,-0.2235,6.0,0.0166,0,-0.1075,0.1268,-0.0697,-0.0144,-0.1395,162
401507135,2023,7.0,163.0,0.2031,0.2383,23.6,2.915,0,0,13.32,-10.91,172.48,-0.0073,0.0931,0.0719,0.0876,0.0234,0.32,-0.2496,0.6913,0.2779,0.4471,-3.1053,-0.0258,1.9474,0.0958,0,0.2587,0.1562,0.1337,0.083,0.5833,162
401507136,2023,6.0,154.0,0.0083,-0.0809,18.8,5.021,0,0,1.77,-1.51,168.05,0.025,0.1618,0.1642,-0.0944,0.0016,-1.37,-0.1967,0.1819,-0.1946,0.0557,3.5018,-0.2331,0.3727,0.1737,0,-0.1731,-0.1629,0.2336,0.0885,-0.0052,162
401507137,2023,17.0,163.0,0.0083,-0.0603,-2.8,0.161,0,0,-1.55,-1.83,162.34,0.0239,-0.0087,-0.0625,0.1511,-0.014,-2.67,0.1759,-0.4012,-0.0323,-0.2233,-5.5535,0.1732,-1.1402,0.3348,0,-0.1255,-0.0553,0.0815,0.0652,0.0093,162
401507138,2023,-6.0,144.0,-0.1923,-0.2172,-52.9,1.81,0,0,-23.12,0.13,157.07,0.0097,-0.0412,0.1401,0.0782,-0.1419,-6.54,-0.2579,0.0915,-0.0377,-0.5797,0.2515,-0.0398,0.9978,0.025,2,-0.2426,-0.4422,-0.1085,-0.0346,-0.5106,162
401507139,2023,-7.0,169.0,-0.0384,0.0444,-29.1,-5.971,0,0,-4.74,1.6,168.48,-0.0081,-0.1425,-0.1777,0.0785,-0.0404,0.68,0.1036,-0.093,0.112,-0.1245,-1.6112,0.1881,0.3172,-0.1135,0,0.1722,0.0781,-0.2592,-0.1427,-0.1404,162
401507140,2023,-6.0,160.0,0.1883,0.2644,12.1,5.752,1,0,6.0,-10.66,171.59,0.0118,-0.0625,0.0904,0.0321,0.0312,1.01,0.0603,0.3063,0.3047,0.2463,-6.7565,-0.0297,1.4354,0.0224,1,0.2544,0.1252,-0.0018,-0.2495,0.1189,162
401507141,2023,-9.0,179.0,-0.1002,-0.1781,-6.9,2.38,0,0,-3.79,-4.06,167.21,-0.0557,0.0291,0.0882,-0.0244,-0.1286,-0.11,-0.0353,-0.1822,-0.1158,-0.1016,5.0,-0.0549,-2.6842,-0.0873,1,-0.2202,0.0842,-0.1305,-0.0885,-0.2839,162
401507142,2023,9.0,171.0,-0.0481,-0.1289,-1.7,3.112,2,0,-5.1,-0.17,159.09,0.0159,-0.0479,0.0191,0.0022,-0.0016,-1.45,-0.2696,0.2411,-0.082,-0.2223,1.2411,0.0649,2.9305,0.1283,0,0.1137,-0.1828,-0.202,-0.0431,-0.3398,162
401507143,2023,-2.0,140.0,-0.1059,-0.081,40.2,1.886,2,0,7.32,-4.45,161.33,0.0114,0.0988,-0.0633,-0.0855,0.1481,2.16,0.3885,-0.7114,-0.0261,0.0932,-1.3999,-0.0665,0.9458,0.1179,0,-0.0231,0.1193,0.1277,0.0106,0.1524,162
