aid,player,team,gp,oR,dR
2491877,Elena Delle Donne,WSH,27,0.08,0.106
3007473,Amanda Zahui B.,IND,23,-0.275,0.07
2529137,Natasha Cloud,CHI,150,0.044,0.037
3146151,Ariel Atkins,LA,129,-0.261,0.179
4065850,Jazmine Jones,WSH,2,-0.165,0.031
2490514,Tianna Hawkins,WSH,44,0.017,0.047
2987887,Alisia Jenkins,WSH,1,-0.056,0.01
4065785,Stephanie Jones,ATL,3,-0.127,0.022
4398729,Emily Engstler,POR,94,-0.065,0.42
4280890,Evina Westbrook,LA,10,-0.173,-0.006
4594531,Elena Tsineke,WSH,2,-0.139,0.026
3917450,Napheesa Collier,MIN,132,0.526,0.458
4398938,Dorka Juhasz,MIN,80,0.096,0.081
4433635,Diamond Miller,CON,109,-0.439,-0.072
2984741,Tiffany Mitchell,SEA,99,-0.301,-0.06
3058908,Lindsay Allen,CON,97,-0.105,-0.157
4282166,,,0,0.0,0.0
4282531,,,0,0.0,0.0
4398567,Taylor Soule,MIN,7,-0.076,0.014
4432835,Brea Beal,MIN,2,-0.186,0.015
2566186,Rachel Banham,CHI,131,-0.391,-0.213
3944151,,,0,0.0,0.0
4282168,Kiana Williams,LA,23,-0.399,-0.108
2566453,Isabelle Harrison,TOR,76,0.38,0.018
2566081,Elizabeth Williams,CHI,121,0.001,0.282
2987891,Courtney Williams,MIN,176,0.093,0.268
2998938,Kahleah Copper,PHX,146,0.086,-0.24
4281190,Dana Evans,LV,140,0.054,-0.151
2529567,Robyn Parks,CON,44,-0.216,-0.048
3143510,Morgan Bertsch,CHI,36,-0.282,0.018
3913868,Kristine Anigwe,CHI,10,-0.065,0.051
3913881,Alanna Smith,DAL,165,-0.06,0.623
2327695,Rebekah Gardner,NY,62,0.096,0.143
3054133,Feyonda Fitzgerald,CHI,2,-0.104,0.012
4398947,Kayana Traylor,IND,8,-0.322,0.039
4399736,,,0,0.0,0.0
2529130,Natasha Howard,MIN,153,0.52,0.333
