logged_utc,date,player,market,side,line,price,orig_src,orig_move,actual,result,ret
2026-08-03T05:58:29Z,2026-08-02,Chelsea Gray,pts,Under,12.5,1.769,flip_paper,0.0753,17.0,loss,-1.0
2026-08-03T05:58:29Z,2026-08-02,Kamilla Cardoso,pts,Over,14.5,1.87,newunder,0.0219,16.0,WIN,0.87
2026-08-03T05:58:29Z,2026-08-02,Sydney Taylor,pts,Over,17.5,1.87,newunder,0.0219,14.0,loss,-1.0
2026-08-03T05:58:29Z,2026-08-02,Kahleah Copper,pts,Over,22.5,2.0,newunder,0.0225,31.0,WIN,1.0
2026-08-03T05:58:29Z,2026-08-02,Sabrina Ionescu,pts,Under,19.5,1.81,flip_paper,0.0183,18.0,WIN,0.81
2026-08-03T05:58:29Z,2026-08-02,Azzi Fudd,pts,Over,13.5,1.85,newunder,0.0694,12.0,loss,-1.0
2026-08-03T05:58:29Z,2026-08-02,Erica Wheeler,pra,Under,18.5,1.73,overshoot,0.0929,20.0,loss,-1.0
2026-08-03T10:04:41Z,2026-08-03,Natasha Cloud,pts,Over,10.5,1.909,newunder,0.0127,13.0,WIN,0.909
2026-08-04T03:35:55Z,2026-08-03,Sabrina Ionescu,pts,Under,19.5,1.8,flip_paper,0.0611,18.0,WIN,0.8
2026-08-04T09:06:36Z,2026-08-04,Jordin Canada,pts,Over,10.5,1.85,newunder,0.0694,17.0,WIN,0.85
2026-08-04T09:06:36Z,2026-08-04,Sabrina Ionescu,pts,Under,19.5,1.8,flip_paper,0.0437,15.0,WIN,0.8
2026-08-04T09:06:36Z,2026-08-04,Kamilla Cardoso,pts,Over,15.5,1.87,starout,0.0694,15.0,loss,-1.0
2026-08-04T11:33:37Z,2026-08-04,Rhyne Howard,pts,Over,16.5,1.87,newunder,0.0219,23.0,WIN,0.87
2026-08-04T11:33:37Z,2026-08-04,Jonquel Jones,pts,Over,14.5,1.909,newunder,0.0183,14.0,loss,-1.0
2026-08-04T11:33:37Z,2026-08-04,Maria Conde,pra,Under,16.5,1.87,cascade,0.0219,27.0,loss,-1.0
2026-08-08T09:46:16Z,2026-08-08,Kamilla Cardoso,pts,Over,15.5,1.78,newunder,0.0432,14.0,loss,-1.0
2026-08-08T09:46:16Z,2026-08-08,Flau'jae Johnson,pts,Over,15.5,1.87,newunder,0.0202,8.0,loss,-1.0
2026-08-08T11:43:34Z,2026-08-08,Carla Leite,pts,Over,17.5,1.68,newunder,0.1184,4.0,loss,-1.0
2026-08-08T11:43:34Z,2026-08-08,Kelsey Mitchell,pr,Under,26.5,1.83,overshoot,0.0167,32.0,loss,-1.0
2026-08-08T14:00:44Z,2026-08-08,Nneka Ogwumike,pts,Under,14.5,1.769,flip_paper,0.0152,16.0,loss,-1.0
2026-08-08T19:42:22Z,2026-08-08,Kayla McBride,pts,Under,15.5,1.73,flip_paper,0.0256,15.0,WIN,0.73
2026-08-08T21:44:01Z,2026-08-08,Jackie Young,pra,Under,29.5,1.83,hotover,0.0167,29.0,WIN,0.83
2026-08-08T22:44:31Z,2026-08-08,Jessica Shepard,pts,Over,13.5,1.79,newunder,0.0105,0,loss,-1.0
2026-08-09T02:26:24Z,2026-08-08,Natasha Howard,pts,Over,11.5,1.75,newunder,0.032,17.0,WIN,0.75
2026-08-09T02:26:24Z,2026-08-08,Olivia Miles,pr,Under,23.5,1.83,overshoot,0.0167,30.0,loss,-1.0
