captured_utc,game_id,tip,away,home,market,player,side,line,price,book
2026-06-13T20:23:17+00:00,5bd596e423be0c73cc633d354e6dd1f8,2026-06-13T22:00:00Z,Indiana Fever,Connecticut Sun,player_points,Aaliyah Edwards,Over,10.5,2.07,Pinnacle
2026-06-13T20:23:17+00:00,5bd596e423be0c73cc633d354e6dd1f8,2026-06-13T22:00:00Z,Indiana Fever,Connecticut Sun,player_points,Aaliyah Edwards,Under,10.5,1.7,Pinnacle
2026-06-13T20:23:17+00:00,5bd596e423be0c73cc633d354e6dd1f8,2026-06-13T22:00:00Z,Indiana Fever,Connecticut Sun,player_points,Aliyah Boston,Over,15.5,1.85,Pinnacle
2026-06-13T20:23:17+00:00,5bd596e423be0c73cc633d354e6dd1f8,2026-06-13T22:00:00Z,Indiana Fever,Connecticut Sun,player_points,Aliyah Boston,Under,15.5,1.88,Pinnacle
2026-06-13T20:23:17+00:00,5bd596e423be0c73cc633d354e6dd1f8,2026-06-13T22:00:00Z,Indiana Fever,Connecticut Sun,player_points,Aneesah Morrow,Over,12.5,1.76,Pinnacle
2026-06-13T20:23:17+00:00,5bd596e423be0c73cc633d354e6dd1f8,2026-06-13T22:00:00Z,Indiana Fever,Connecticut Sun,player_points,Aneesah Morrow,Under,12.5,1.99,Pinnacle
2026-06-13T20:23:17+00:00,5bd596e423be0c73cc633d354e6dd1f8,2026-06-13T22:00:00Z,Indiana Fever,Connecticut Sun,player_points,Brittney Griner,Over,13.5,2.01,Pinnacle
2026-06-13T20:23:17+00:00,5bd596e423be0c73cc633d354e6dd1f8,2026-06-13T22:00:00Z,Indiana Fever,Connecticut Sun,player_points,Brittney Griner,Under,13.5,1.75,Pinnacle
2026-06-13T20:23:17+00:00,5bd596e423be0c73cc633d354e6dd1f8,2026-06-13T22:00:00Z,Indiana Fever,Connecticut Sun,player_points,Caitlin Clark,Over,19.5,1.82,Pinnacle
2026-06-13T20:23:17+00:00,5bd596e423be0c73cc633d354e6dd1f8,2026-06-13T22:00:00Z,Indiana Fever,Connecticut Sun,player_points,Caitlin Clark,Under,19.5,1.93,Pinnacle
2026-06-13T20:23:17+00:00,5bd596e423be0c73cc633d354e6dd1f8,2026-06-13T22:00:00Z,Indiana Fever,Connecticut Sun,player_points,Diamond Miller,Over,9.5,2.0,Pinnacle
2026-06-13T20:23:17+00:00,5bd596e423be0c73cc633d354e6dd1f8,2026-06-13T22:00:00Z,Indiana Fever,Connecticut Sun,player_points,Diamond Miller,Under,9.5,1.75,Pinnacle
2026-06-13T20:23:17+00:00,5bd596e423be0c73cc633d354e6dd1f8,2026-06-13T22:00:00Z,Indiana Fever,Connecticut Sun,player_points,Kelsey Mitchell,Over,18.5,1.76,Pinnacle
2026-06-13T20:23:17+00:00,5bd596e423be0c73cc633d354e6dd1f8,2026-06-13T22:00:00Z,Indiana Fever,Connecticut Sun,player_points,Kelsey Mitchell,Under,18.5,2.0,Pinnacle
2026-06-13T20:23:17+00:00,5bd596e423be0c73cc633d354e6dd1f8,2026-06-13T22:00:00Z,Indiana Fever,Connecticut Sun,player_points,Leïla Lacan,Over,12.5,2.06,Pinnacle
2026-06-13T20:23:17+00:00,5bd596e423be0c73cc633d354e6dd1f8,2026-06-13T22:00:00Z,Indiana Fever,Connecticut Sun,player_points,Leïla Lacan,Under,12.5,1.71,Pinnacle
2026-06-13T20:23:17+00:00,5bd596e423be0c73cc633d354e6dd1f8,2026-06-13T22:00:00Z,Indiana Fever,Connecticut Sun,player_points,Lexie Hull,Over,7.5,1.9,Pinnacle
2026-06-13T20:23:17+00:00,5bd596e423be0c73cc633d354e6dd1f8,2026-06-13T22:00:00Z,Indiana Fever,Connecticut Sun,player_points,Lexie Hull,Under,7.5,1.84,Pinnacle
2026-06-13T20:23:17+00:00,5bd596e423be0c73cc633d354e6dd1f8,2026-06-13T22:00:00Z,Indiana Fever,Connecticut Sun,player_points,Saniya Rivers,Over,9.5,1.85,Pinnacle
2026-06-13T20:23:17+00:00,5bd596e423be0c73cc633d354e6dd1f8,2026-06-13T22:00:00Z,Indiana Fever,Connecticut Sun,player_points,Saniya Rivers,Under,9.5,1.88,Pinnacle
2026-06-13T20:23:17+00:00,5bd596e423be0c73cc633d354e6dd1f8,2026-06-13T22:00:00Z,Indiana Fever,Connecticut Sun,player_points,Sophie Cunningham,Over,8.5,1.97,Pinnacle
2026-06-13T20:23:17+00:00,5bd596e423be0c73cc633d354e6dd1f8,2026-06-13T22:00:00Z,Indiana Fever,Connecticut Sun,player_points,Sophie Cunningham,Under,8.5,1.78,Pinnacle
