slate,player,market,side,line,odds,src,prev_line,tip,result,actual,pnl,note
20260811,Kelsey Mitchell,pts,Over,24.5,1.86,flip,25.5,2026-08-11T23:30Z,WIN,28,0.86,book cut 25.5->24.5
20260811,Chelsea Gray,pra,Over,19.5,1.8,overshoot,19.5,2026-08-12T02:00Z,loss,19,-1.0,lost by 0.5
20260811,NaLyssa Smith,pts,Over,11.5,1.79,flip_paper,12.5,2026-08-12T02:00Z,loss,11,-1.0,lost by 0.5
20260811,Dearica Hamby,pts,Over,13.5,1.81,flip_paper,13.5,2026-08-12T02:00Z,WIN,19,0.81,correlated w/ her PRA
20260811,Dearica Hamby,pra,Over,22.5,1.73,cascade,23.5,2026-08-12T02:00Z,WIN,25,0.73,correlated w/ her PTS
20260811,Rae Burrell,pra,Over,18.5,1.73,cascade,19.5,2026-08-12T02:00Z,WIN,28,0.73,book cut 19.5->18.5
20260813,Erica Wheeler,pra,Over,16.5,1.833,cascade,16.5,2026-08-14T00:00Z,loss,16.0,-1.0,
20260815,Dearica Hamby,pr,Over,20.5,1.73,flip,20.5,2026-08-15T23:30Z,loss,18.0,-1.0,
20260815,NaLyssa Smith,pr,Over,17.5,1.83,flip,17.5,2026-08-16T00:00Z,WIN,29.0,0.83,
20260816,Monique Billings,pts,Over,6.5,1.94,flip,9.5,2026-08-16T21:00Z,loss,3.0,-1.0,
20260816,Kelsey Mitchell,pr,Over,26.5,1.87,overshoot,26.5,2026-08-16T21:00Z,loss,21.0,-1.0,
20260816,Megan Dileo,pr,Over,18.5,1.91,overshoot,18.5,2026-08-16T23:00Z,WIN,20.0,0.91,
20260818,Arike Ogunbowale,pr,Over,17.5,2.0,flip,19.5,2026-08-18T02:00Z,WIN,21.0,1.0,
20260818,Nalyssa Smith,pr,Over,17.5,1.833,overshoot,17.5,2026-08-19T01:00Z,loss,16.0,-1.0,
20260818,Jackie Young,pr,Over,22.5,1.83,flip,23.5,2026-08-19T01:00Z,WIN,29.0,0.83,
20260818,Angel Reese,pr,Over,28.5,1.8,overshoot,28.5,2026-08-19T01:00Z,WIN,31.0,0.8,
20260819,Kayla Thornton,pts,Over,8.5,1.95,flip,8.5,2026-08-20T02:00Z,loss,5.0,-1.0,
20260819,Napheesa Collier,pra,Over,28.5,1.83,overshoot,30.5,2026-08-20T02:00Z,loss,26.0,-1.0,
20260821,Kamilla Cardoso,pra,Over,24.5,1.87,overshoot,25.5,2026-08-21T23:30Z,WIN,28.0,0.87,
20260821,Sydney Taylor,pra,Over,15.5,1.8,overshoot,22.5,2026-08-21T23:30Z,WIN,17.0,0.8,
20260822,Rebecca Allen,pts,Over,8.5,2.05,overshoot,9.5,2026-08-22T23:00Z,WIN,9.0,1.05,
20260823,Kelsey Mitchell,pra,Over,29.5,1.91,overshoot,30.5,2026-08-23T23:00Z,WIN,36.0,0.91,
20260823,Kiki Iriafen,pra,Over,25.5,1.833,overshoot,25.5,2026-08-23T23:00Z,WIN,30.0,0.833,
