feature,nonnull,sd,r_out,r_mkt,r_ats,t_ats,r_totO,r_totM,verdict
f_margin,987,14.214323127123007,0.9999999999999999,0.4911059120225765,0.8344641057533577,47.52532294960477,-0.020049934824128944,-0.02007160864774879,DISQUALIFY: POST-GAME LEAK
f_total,987,17.392536317921966,-0.020049934824128944,-0.007761596836460629,-0.01499698440511771,-0.4707289399161807,1.0,0.3475155024591316,DISQUALIFY: POST-GAME LEAK
pstr,987,0.2969469481607265,0.43009886888871074,0.8874689710991605,-0.058831175416188264,-1.8496029704721901,0.0005279548385507908,-0.02970207914089312,keep
pnews,987,0.31500298714541863,0.4446363064284219,0.903398896352573,-0.05021125973147212,-1.5778560854198616,-0.007440315145371543,-0.03323907047187082,keep
telo,987,130.72694842803068,0.39588841776285916,0.8180135241738562,-0.05557527052220356,-1.746913583522892,-0.01693835045368103,-0.037692695351968876,keep
zone,987,3.5260345287477333,0.21955779318084584,0.43139904668728896,-0.022127572189316713,-0.6946375067983389,-0.0005518476496306132,-0.010822066168830267,keep
rest,987,1.2211650939148788,0.018186206945929966,-0.009698231123760235,0.022037444176323036,0.6918067949880587,-0.04190939369674485,0.042373381339470564,keep
b2b,987,0.2566565226100933,-0.001859247368699709,-0.0233701370147021,0.012580464446260863,0.3948654724828397,-0.00026909474630402796,-0.06586526120618702,keep
form5,987,11.219809352318691,0.3472850739957177,0.6796256347303767,-0.028410783968093507,-0.8920242873299704,-0.018282599810266288,-0.0107488670007352,keep
pace_d,987,3.0380845622663344,-0.061482045277926445,-0.03495510053397469,-0.05356703573878884,-1.683603087234115,0.03921115015380768,0.010554552302739564,keep
pace_s,987,3.5613762509854885,-0.034490410770713256,-0.022918910294427355,-0.02675756493692282,-0.8400791950222942,0.2288362815787709,0.5238909946770373,keep
tov,987,0.026647335059844148,-0.20614730963543035,-0.4472026400639223,0.034788722478385506,1.0924952533640289,0.038519235079853865,-0.006467428888731252,keep
oreb,987,0.05784609860623639,-0.022956935749932367,-0.12029109881625663,0.045109966772095944,1.4172058864783312,0.015789852385754383,0.03339256241065744,keep
ftr,987,0.059693609560364624,-0.11198104473259889,-0.1303843734018364,-0.04961436455534371,-1.559052478736999,0.026447480746812784,0.023785203727880178,keep
p3ar,987,0.0826322388089016,0.1884867918766537,0.34321575434426116,0.00024248115352128725,0.0076102008233070095,-0.03346594469284462,-0.0012772639699381943,keep
p3pct,987,0.05151100885005357,0.13773986902103166,0.3286478109336586,-0.049707374670369904,-1.56198240619906,0.0240792843153118,-0.0390464859233857,keep
stk,987,2.247146275403746,0.19159904151042714,0.32442972005885234,0.013459536227745938,0.4224619047168966,-0.05242826288871735,-0.07056603089124572,keep
bench,987,0.3163471861965388,0.20587985333360825,0.44556573115451303,-0.03801999237155151,-1.194109788387968,-0.018186135568084065,-0.03321245977181451,keep
drop,987,0.40034223806404723,0.23389624880207963,0.4376174737071666,-0.006415701410688182,-0.20135907013007248,0.008798693979309708,-0.004466669602134175,keep
fluid,987,0.22117936123906015,0.35967858804233627,0.7576850394672254,-0.05989651867166336,-1.8832159891994034,0.014122306077596368,-0.011820448264597347,keep
pmr,987,0.47464788766807653,0.3974949141866159,0.797901733123293,-0.04393273113496128,-1.3801485561435995,-0.02308515003987603,-0.023430964160076877,keep
pfr,987,2.5386718307086182,-0.24614430614631916,-0.4858247581690428,0.018444435484787698,0.5789717430629489,0.007486935273091741,-0.014177827384549181,keep
ftp,987,0.06318271564557984,0.1062840495798342,0.2988248026680475,-0.06942918628448687,-2.184285791295589,-0.022880379676200227,-0.015408161760823364,keep
blkr,987,1.4655320020746305,0.11257199131272622,0.26118227721883425,-0.03192418816933532,-1.002442328267704,-0.012894657079386694,-0.054290269049859494,keep
q4,987,0.1278940374288441,-0.01926086130614508,-0.057572729318397055,0.026717852366052043,0.8388314897686514,0.03979323107532283,0.01774134024411409,keep
road,987,1.0024026246911295,0.04493573189707269,0.03475083417604029,0.03517149546139292,1.104530555500059,0.008677726929765773,0.06301158662225022,keep
m_scdef,987,0.2395816705644053,0.30407541988132697,0.6523403295597622,-0.061341445872364814,-1.9288157363362237,-0.008910148592891368,-0.04213401324838614,keep
m_pade,987,0.2724947491889763,0.35597285382240995,0.6535006524094034,0.004146914866344766,0.13015083813620895,-0.027243605628307913,-0.05368635961965366,keep
m_rb,987,0.15741233502910632,0.08645495310806287,0.13079645362109554,0.016744948620361043,0.525609044398142,0.00824185089906626,0.013033056981985557,keep
m_vo,987,0.16907521944067308,0.12434904454407689,0.2546694197499562,-0.009736816538816324,-0.3056016467313356,0.013975312269957466,0.009606127608745534,keep
m_all5,987,0.45397772940928266,0.3811390943431596,0.7514759042980625,-0.028897778659195374,-0.9073273181384504,-0.0011875929198491052,-0.0264814549069332,keep
lgenv,987,2.5362219286535543,0.0029924842159140693,-0.017843158152502658,0.012915702571854593,0.4053893891828223,0.059607327873682524,0.2481256642461277,keep
