game_id,date,season,home,away,home_score,away_score,ml_h,ml_a,spread,sp_h,sp_a,total,ou_o,ou_u,n_bk_sp,n_bk_ou,home_margin,game_total,home_won,home_covered,over_hit,pstr,pnews,telo,zone,rest,b2b,form5,pace_d,pace_s,tov,oreb,ftr,p3ar,p3pct,stk,bench,drop,fluid,pmr,pfr,ftp,blkr,q4,road,m_scdef,m_pade,m_rb,m_vo,m_all5,lgenv,mkt,ats
401525954,20230513,2023,MIN,CHI,74,82,1.76,2.06,-1.5,1.87,1.91,156.5,1.88,1.89,5,6,-8,156,0,0.0,0.0,-0.0847,-0.0839,-5.1,0.246,0.0,0.0,-7.79,5.96,156.04,-0.0173,-0.1021,0.2195,0.1593,-0.2695,-7.74,-0.1073,0.0007,-0.0501,-0.0458,-3.8421,-0.319,-1.5263,0.1594,0.0,-0.2127,-0.2647,0.002,-0.0259,-0.3,162.0,1.5,-9.5
401537462,20230513,2023,IND,DAL,90,83,2.74,1.44,5.5,1.89,1.89,154.5,1.9,1.89,3,6,7,173,1,1.0,1.0,-0.1918,-0.2027,-19.4,-7.813,0.0,0.0,-30.0,2.52,156.68,0.0818,-0.2221,-0.2468,-0.0871,0.0308,-2.0,-0.0582,-0.1942,-0.1784,-0.3029,-1.0,-0.1813,-3.0,-0.319,0.0,-0.1611,-0.223,-0.1777,-0.2189,-0.6835,162.0,-5.5,12.5
401537464,20230514,2023,ATL,CON,68,85,2.27,1.64,3.5,1.91,1.91,158.5,1.9,1.89,4,6,-17,153,0,0.0,0.0,-0.0971,-0.1233,-14.2,-9.074,0.0,0.0,-18.0,16.24,170.72,0.0029,-0.0103,-0.1106,0.0538,-0.125,-1.0,0.0832,-0.3327,-0.0865,-0.2232,-3.0,0.0868,0.0,0.6064,0.0,-0.1402,-0.2313,-0.0433,0.0305,-0.2724,162.0,-3.5,-13.5
401507130,20230519,2023,IND,CON,61,70,3.45,1.31,7.0,1.96,1.83,161.5,1.9,1.91,7,10,-9,131,0,0.0,0.0,-0.0541,-0.0261,-29.8,-7.336,0.0,0.0,-19.95,-2.63,162.97,-0.0084,-0.1244,-0.0034,0.0307,0.0304,-3.21,-0.2693,0.2522,0.0873,-0.354,-2.8947,0.0532,-3.1579,0.1163,1.0,-0.0922,-0.2398,-0.0977,-0.0688,-0.2538,162.0,-7.0,-2.0
401507131,20230519,2023,WSH,NY,80,64,2.18,1.68,2.5,1.91,1.9,162.5,1.88,1.91,8,10,16,144,1,1.0,0.0,0.0565,0.212,16.1,1.156,0.0,0.0,11.42,7.94,162.71,-0.0342,0.0181,-0.0123,-0.1041,-0.0398,6.68,-0.0231,0.3005,0.1699,0.5361,2.0526,0.0697,3.7895,-1.0463,2.0,0.4338,0.2457,-0.1217,0.0393,0.3674,162.0,-2.5,18.5
401507132,20230519,2023,MIN,CHI,66,77,1.46,2.7,-5.5,1.93,1.87,162.5,1.9,1.9,8,10,-11,143,0,0.0,0.0,-0.0598,0.0305,-25.8,1.273,0.0,0.0,-12.55,2.02,158.0,-0.0418,-0.1363,0.182,0.0749,-0.1333,-2.73,0.0631,-0.0627,0.0861,-0.0714,-1.529,-0.1373,-0.8602,-0.0218,1.0,-0.1247,-0.1347,-0.0928,0.0718,-0.0897,162.0,5.5,-16.5
401507133,20230519,2023,LA,PHX,94,71,1.77,2.05,-2.5,1.95,1.87,157.5,1.96,1.83,8,10,23,165,1,1.0,1.0,0.1557,0.2397,28.0,7.08,0.0,0.0,26.16,5.17,159.79,-0.0429,-0.0553,-0.0493,-0.1311,0.097,-0.05,0.2029,0.0008,0.2217,0.3397,1.0,-0.2234,-3.5789,0.1181,0.0,0.011,0.0883,-0.0067,0.0225,0.238,162.0,2.5,20.5
401507134,20230520,2023,SEA,LV,64,105,7.01,1.1,12.5,2.01,1.75,167.5,1.88,1.9,8,10,-41,169,0,0.0,1.0,-0.0979,-0.1896,-14.9,-3.201,0.0,0.0,-13.0,-6.48,158.48,-0.0776,0.0528,0.1159,0.0,-0.16,6.0,-0.4552,0.3714,-0.1618,-0.2189,3.0,-0.2235,6.0,0.0166,0.0,-0.1075,0.1268,-0.0697,-0.0144,-0.1395,162.0,-12.5,-28.5
401507135,20230520,2023,DAL,ATL,85,78,1.78,2.06,-2.5,1.95,1.83,158.5,1.73,2.11,8,10,7,163,1,1.0,1.0,0.2031,0.2383,23.6,2.915,0.0,0.0,13.32,-10.91,172.48,-0.0073,0.0931,0.0719,0.0876,0.0234,0.32,-0.2496,0.6913,0.2779,0.4471,-3.1053,-0.0258,1.9474,0.0958,0.0,0.2587,0.1562,0.1337,0.083,0.5833,162.0,2.5,4.5
401507136,20230521,2023,CON,WSH,80,74,1.95,1.84,-1.5,1.95,1.86,156.5,1.79,1.97,8,10,6,154,1,1.0,0.0,0.0083,-0.0809,18.8,5.021,0.0,0.0,1.77,-1.51,168.05,0.025,0.1618,0.1642,-0.0944,0.0016,-1.37,-0.1967,0.1819,-0.1946,0.0557,3.5018,-0.2331,0.3727,0.1737,0.0,-0.1731,-0.1629,0.2336,0.0885,-0.0052,162.0,1.5,4.5
