game_id,season,o_elo,o_rest,o_b2b,o_b2bh,o_b2ba,o_form5,o_form10,o_gp,o_eloh,o_eloa
401129933,2019,0.0,0,0,0,0,0.0,0.0,0,1500.0,1500.0
401129934,2019,0.0,0,0,0,0,0.0,0.0,0,1500.0,1500.0
401129935,2019,0.0,0,0,0,0,0.0,0.0,0,1500.0,1500.0
401129936,2019,0.0,0,0,0,0,0.0,0.0,0,1500.0,1500.0
401129937,2019,-21.982535596138632,0,0,0,0,-18.0,-18.0,0,1500.0,1521.9825355961386
401129938,2019,0.0,0,0,0,0,0.0,0.0,0,1500.0,1500.0
401129939,2019,30.652812075303473,0,0,1,1,31.0,31.0,1,1523.7266528348453,1493.0738407595418
401129940,2019,52.635347671442105,0,0,1,1,57.0,57.0,1,1528.9086948365969,1476.2733471651547
401129941,2019,-15.52465445319126,0,0,0,0,-7.0,-7.0,0,1500.0,1515.5246544531913
401129942,2019,58.80514167688625,0,0,0,0,22.0,22.0,1,1529.4025708384431,1470.5974291615569
401129943,2019,51.054201508625965,-4,0,0,0,21.0,21.0,1,1535.5295470554347,1484.4753455468087
401129944,2019,0.4146411023236851,4,0,0,0,-4.0,-4.0,1,1484.4753455468087,1484.060704444485
401129945,2019,-26.929760172120723,0,0,0,0,-22.0,-22.0,2,1481.2709465389526,1508.2007067110733
401129946,2019,-46.924233567837064,2,0,0,0,-20.5,-20.5,2,1496.9813352906783,1543.9055688585154
401129947,2019,-15.52465445319126,-3,0,0,0,-7.0,-7.0,0,1500.0,1515.5246544531913
401104913,2019,25.974585977811557,2,0,0,0,13.666666666666668,13.666666666666668,3,1503.628291313982,1477.6537053361703
401104914,2019,-115.64766172001464,0,0,0,0,-19.0,-19.0,3,1447.5855370930087,1563.2331988130234
401104915,2019,-62.9023675386652,0,0,0,0,-10.0,-10.0,2,1468.561582470041,1531.4639500087062
401104916,2019,25.50951486875556,-1,0,0,0,14.333333333333332,14.333333333333332,2,1541.886116157017,1516.3766012882616
401104917,2019,77.93517239323819,-1,0,0,0,16.5,16.5,2,1534.0296035347228,1456.0944311414846
401104918,2019,-18.47941660278434,0,0,0,0,-4.0,-4.0,1,1481.4950509184685,1499.9744675212528
401104919,2019,-8.809886397775472,-1,0,0,0,9.0,9.0,4,1560.5468621404173,1569.3567485381927
401104920,2019,59.521831158637724,0,0,0,0,10.0,10.0,3,1549.8082169674158,1490.286385808778
401104921,2019,38.610516051233844,5,0,0,0,8.25,8.25,4,1514.4395728510876,1475.8290567998538
401104922,2019,7.070379391995857,1,0,0,0,-4.166666666666667,-4.166666666666667,2,1509.7391466699692,1502.6687672779733
401104923,2019,-100.95215241835604,2,0,0,0,-19.333333333333332,-19.333333333333332,3,1478.800751161748,1579.752903580104
401104924,2019,108.68871973066666,-3,0,0,0,11.6,11.6,5,1550.150707098506,1441.4619873678394
401104925,2019,18.995872369603603,6,-1,0,1,-4.666666666666666,-4.666666666666666,3,1497.7158553048614,1478.7199829352578
