family,bucket,side,n,hit,roi,lo,hi
line,line<=158,OVER,497,51.91146881287726,-3.279678068410464,-11.430835010060363,4.9600100603621735
line,line<=158,UNDER,497,48.08853118712273,-7.728370221327968,-16.165191146881288,0.5937625754527148
line,line 158-162,OVER,404,51.98019801980198,-4.292079207920793,-13.342079207920792,4.6759900990099
line,line 158-162,UNDER,404,48.01980198019802,-7.037128712871288,-16.336819306930696,2.485334158415841
line,line 162-168,OVER,483,50.5175983436853,-7.049689440993788,-15.17391304347826,1.0049171842650126
line,line 162-168,UNDER,483,49.4824016563147,-3.546583850931679,-12.226086956521742,5.01273291925466
line,line>168,OVER,387,52.97157622739018,-4.116279069767441,-13.27280361757106,4.455103359173128
line,line>168,UNDER,387,47.02842377260982,-7.441860465116282,-16.718733850129198,2.421963824289407
spread,|sp|<=3.5,OVER,540,51.85185185185185,-4.390740740740741,-12.429120370370374,3.4302314814814823
spread,|sp|<=3.5,UNDER,540,48.148148148148145,-6.462962962962964,-14.576203703703705,1.889305555555556
spread,|sp| 3.5-5.5,OVER,368,51.902173913043484,-4.478260869565219,-14.024524456521739,4.693138586956521
spread,|sp| 3.5-5.5,UNDER,368,48.09782608695652,-6.649456521739131,-16.253260869565217,3.4871603260869595
spread,|sp| 5.5-8.5,OVER,422,47.867298578199055,-11.748815165876776,-20.313329383886256,-3.027132701421796
spread,|sp| 5.5-8.5,UNDER,422,52.13270142180095,1.1350710900473924,-8.082997630331757,10.20633886255924
spread,|sp|>8.5,OVER,441,55.32879818594104,1.3945578231292513,-7.020408163265306,10.209070294784581
spread,|sp|>8.5,UNDER,441,44.67120181405896,-13.19501133786848,-22.517630385487532,-4.296938775510205
b2b,no b2b,OVER,1684,51.365795724465556,-5.387173396674586,-9.747698931116393,-1.0657957244655583
b2b,no b2b,UNDER,1684,48.634204275534444,-5.570071258907365,-10.134233966745844,-0.9512618764845622
b2b,one b2b,OVER,81,60.49382716049383,9.382716049382717,-10.482716049382717,28.518518518518515
b2b,one b2b,UNDER,81,39.50617283950617,-23.444444444444446,-43.41913580246913,-1.8638888888888885
rest,both short rest<=2,OVER,579,50.94991364421416,-6.089810017271158,-13.518436960276338,1.4077288428324704
rest,both short rest<=2,UNDER,579,49.05008635578584,-4.829015544041452,-12.696416234887739,3.010535405872192
rest,both long rest>=3,OVER,606,51.81518151815182,-4.424092409240925,-11.749174917491748,2.353341584158417
rest,both long rest>=3,UNDER,606,48.18481848184818,-6.633663366336637,-13.747566006600664,1.0709983498349822
season,ssn 2019,OVER,169,57.396449704142015,7.621301775147926,-6.86449704142012,21.261686390532546
season,ssn 2019,UNDER,169,42.60355029585799,-18.5207100591716,-32.25014792899408,-3.780621301775148
season,ssn 2020,OVER,143,49.65034965034965,-7.090909090909091,-22.818181818181817,8.615909090909092
season,ssn 2020,UNDER,143,50.349650349650354,-2.8041958041958077,-18.97325174825175,13.39160839160839
season,ssn 2021,OVER,194,46.391752577319586,-13.09278350515464,-25.577835051546394,0.19948453608248587
season,ssn 2021,UNDER,194,53.608247422680414,3.824742268041238,-9.89201030927835,16.852061855670108
season,ssn 2022,OVER,228,50.877192982456144,-3.850877192982458,-16.487719298245615,8.207346491228074
season,ssn 2022,UNDER,228,49.122807017543856,-5.934210526315789,-18.112171052631577,6.742214912280703
season,ssn 2023,OVER,260,49.61538461538461,-6.93846153846154,-17.853846153846153,4.688653846153845
season,ssn 2023,UNDER,260,50.38461538461539,-3.523076923076925,-15.45778846153846,7.685384615384618
season,ssn 2024,OVER,253,52.569169960474305,-4.308300395256915,-15.170158102766798,7.017193675889333
season,ssn 2024,UNDER,253,47.43083003952569,-7.395256916996046,-19.376877470355733,4.415810276679844
season,ssn 2025,OVER,310,51.61290322580645,-7.1483870967741945,-17.429354838709678,2.7525000000000035
season,ssn 2025,UNDER,310,48.38709677419355,-4.722580645161293,-15.555080645161292,6.554999999999996
season,ssn 2026,OVER,214,56.54205607476636,-0.5046728971962609,-12.088901869158876,11.201285046728993
season,ssn 2026,UNDER,214,43.45794392523364,-13.476635514018692,-26.837967289719625,-0.21016355140187215
pace,pace low,OVER,325,50.153846153846146,-7.692307692307692,-17.53715384615385,2.71515384615385
pace,pace low,UNDER,325,49.84615384615385,-2.950769230769232,-13.831846153846156,7.4869230769230795
