cell,n,hit,roi,lo,hi
lg_over_rate_3 >=0.60 FOLLOW -> OVER,914,51.64113785557986,-5.309628008752736,-11.364113785557985,0.6155634573304176
lg_over_rate_3 >=0.60 FADE -> UNDER,914,48.35886214442014,-6.167396061269147,-12.426039387308533,0.1923960612691473
lg_over_rate_3 <=0.40 FOLLOW -> UNDER,833,48.019207683073226,-6.638655462184877,-13.354261704681873,-0.12686074429771885
lg_over_rate_3 <=0.40 FADE -> OVER,833,51.980792316926774,-4.02641056422569,-10.122629051620647,2.3901860744297716
lg_over_rate_3 >=0.70 FOLLOW -> OVER,240,53.333333333333336,-2.3124999999999996,-13.668854166666666,8.837812500000002
lg_over_rate_3 >=0.70 FADE -> UNDER,240,46.666666666666664,-9.720833333333335,-21.633645833333336,2.1425000000000005
lg_over_rate_3 <=0.30 FOLLOW -> UNDER,185,51.891891891891895,0.8162162162162132,-13.346081081081083,15.200405405405407
lg_over_rate_3 <=0.30 FADE -> OVER,185,48.10810810810811,-11.200000000000001,-24.84891891891892,2.2381081081081087
lg_over_rate_3 >=0.80 FOLLOW -> OVER,240,53.333333333333336,-2.3124999999999996,-13.668854166666666,8.837812500000002
lg_over_rate_3 >=0.80 FADE -> UNDER,240,46.666666666666664,-9.720833333333335,-21.633645833333336,2.1425000000000005
lg_over_rate_3 <=0.20 FOLLOW -> UNDER,185,51.891891891891895,0.8162162162162132,-13.346081081081083,15.200405405405407
lg_over_rate_3 <=0.20 FADE -> OVER,185,48.10810810810811,-11.200000000000001,-24.84891891891892,2.2381081081081087
lg_over_rate_5 >=0.60 FOLLOW -> OVER,916,52.62008733624454,-3.570960698689957,-9.41730349344978,2.472707423580785
lg_over_rate_5 >=0.60 FADE -> UNDER,916,47.379912663755455,-8.001091703056769,-14.327947598253276,-1.824017467248909
lg_over_rate_5 <=0.40 FOLLOW -> UNDER,815,48.71165644171779,-5.322699386503069,-11.849110429447855,1.3325766871165636
lg_over_rate_5 <=0.40 FADE -> OVER,815,51.288343558282214,-5.213496932515336,-11.4309509202454,0.912269938650313
lg_over_rate_5 >=0.70 FOLLOW -> OVER,375,52.800000000000004,-3.5120000000000005,-12.7182,5.754866666666667
lg_over_rate_5 >=0.70 FADE -> UNDER,375,47.199999999999996,-8.448000000000002,-18.064600000000002,1.4592000000000007
lg_over_rate_5 <=0.30 FOLLOW -> UNDER,283,52.29681978798587,1.296819787985865,-9.869699646643111,12.625441696113073
lg_over_rate_5 <=0.30 FADE -> OVER,283,47.70318021201413,-11.501766784452295,-22.360512367491168,-0.8798586572438163
lg_over_rate_5 >=0.80 FOLLOW -> OVER,375,52.800000000000004,-3.5120000000000005,-12.7182,5.754866666666667
lg_over_rate_5 >=0.80 FADE -> UNDER,375,47.199999999999996,-8.448000000000002,-18.064600000000002,1.4592000000000007
lg_over_rate_8 >=0.60 FOLLOW -> OVER,696,53.16091954022989,-2.9612068965517233,-9.635057471264368,3.8235991379310357
lg_over_rate_8 >=0.60 FADE -> UNDER,696,46.839080459770116,-8.892241379310345,-16.10061063218391,-1.8714439655172403
lg_over_rate_8 <=0.40 FOLLOW -> UNDER,550,49.45454545454545,-3.9763636363636374,-12.171045454545457,4.060272727272727
lg_over_rate_8 <=0.40 FADE -> OVER,550,50.54545454545455,-6.385454545454544,-14.176545454545456,1.3415000000000057
lg_over_rate_8 >=0.70 FOLLOW -> OVER,309,52.75080906148867,-3.8576051779935274,-14.31957928802589,6.152588996763755
lg_over_rate_8 >=0.70 FADE -> UNDER,309,47.249190938511326,-8.33980582524272,-18.812540453074437,2.764644012944985
lg_over_rate_8 <=0.30 FOLLOW -> UNDER,216,49.074074074074076,-5.041666666666668,-18.176041666666666,7.819444444444444
lg_over_rate_8 <=0.30 FADE -> OVER,216,50.92592592592593,-5.541666666666667,-17.92152777777778,7.028124999999999
lg_over_rate_8 >=0.80 FOLLOW -> OVER,67,44.776119402985074,-17.850746268656717,-39.50783582089552,4.239179104477614
lg_over_rate_8 >=0.80 FADE -> UNDER,67,55.223880597014926,7.507462686567161,-16.03059701492537,30.29888059701493
lg_over_rate_8 <=0.20 FOLLOW -> UNDER,63,52.38095238095239,1.3015873015873025,-23.159126984126985,25.715476190476185
lg_over_rate_8 <=0.20 FADE -> OVER,63,47.61904761904761,-10.222222222222223,-34.095634920634915,13.682539682539682
lg_over_rate_12 >=0.60 FOLLOW -> OVER,395,51.89873417721519,-5.716455696202531,-14.555443037974683,3.3012025316455786
lg_over_rate_12 >=0.60 FADE -> UNDER,395,48.10126582278481,-6.30126582278481,-16.015189873417725,3.1398101265822786
lg_over_rate_12 <=0.40 FOLLOW -> UNDER,282,47.87234042553192,-7.212765957446809,-18.80567375886525,3.969148936170216
lg_over_rate_12 <=0.40 FADE -> OVER,282,52.12765957446809,-3.684397163120566,-14.422517730496454,7.3906028368794345
lg_over_rate_12 >=0.70 FOLLOW -> OVER,165,52.121212121212125,-5.878787878787877,-19.739848484848487,7.9274242424242445
lg_over_rate_12 >=0.70 FADE -> UNDER,165,47.878787878787875,-6.890909090909092,-21.82469696969697,8.09227272727273
lg_over_rate_12 <=0.30 FOLLOW -> UNDER,107,51.4018691588785,-0.9158878504672902,-18.936682242990656,17.355607476635516
lg_over_rate_12 <=0.30 FADE -> OVER,107,48.598130841121495,-10.429906542056075,-27.617056074766353,7.103271028037383
tm_over_rate_3 >=0.60 FOLLOW -> OVER,629,51.51033386327504,-5.9507154213036575,-12.947575516693165,1.2799682034976159
tm_over_rate_3 >=0.60 FADE -> UNDER,629,48.48966613672496,-5.125596184419715,-12.671899841017488,2.3228934817170104
tm_over_rate_3 <=0.40 FOLLOW -> UNDER,517,44.680851063829785,-13.95357833655706,-21.946276595744678,-5.873839458413919
tm_over_rate_3 <=0.40 FADE -> OVER,517,55.319148936170215,2.5647969052224373,-5.2922630560928425,10.361702127659573
tm_over_rate_3 >=0.70 FOLLOW -> OVER,212,54.71698113207547,-0.6367924528301878,-12.85,11.736792452830189
tm_over_rate_3 >=0.70 FADE -> UNDER,212,45.28301886792453,-10.712264150943398,-24.015212264150946,2.8540094339622617
tm_over_rate_3 <=0.30 FOLLOW -> UNDER,179,44.6927374301676,-14.407821229050283,-28.403212290502793,-0.2613128491620075
tm_over_rate_3 <=0.30 FADE -> OVER,179,55.3072625698324,2.9106145251396653,-10.771648044692736,16.47527932960894
tm_over_rate_3 >=0.80 FOLLOW -> OVER,212,54.71698113207547,-0.6367924528301878,-12.85,11.736792452830189
tm_over_rate_3 >=0.80 FADE -> UNDER,212,45.28301886792453,-10.712264150943398,-24.015212264150946,2.8540094339622617
tm_over_rate_3 <=0.20 FOLLOW -> UNDER,179,44.6927374301676,-14.407821229050283,-28.403212290502793,-0.2613128491620075
tm_over_rate_3 <=0.20 FADE -> OVER,179,55.3072625698324,2.9106145251396653,-10.771648044692736,16.47527932960894
tm_over_rate_5 >=0.60 FOLLOW -> OVER,642,49.532710280373834,-9.532710280373832,-16.59556074766355,-2.6120327102803733
tm_over_rate_5 >=0.60 FADE -> UNDER,642,50.467289719626166,-1.2367601246105935,-8.573208722741434,6.336487538940808
tm_over_rate_5 <=0.40 FOLLOW -> UNDER,534,46.441947565543074,-10.55805243445693,-18.70224719101124,-2.4005617977528098
tm_over_rate_5 <=0.40 FADE -> OVER,534,53.558052434456926,-0.900749063670412,-8.837312734082397,6.890496254681652
tm_over_rate_5 >=0.70 FOLLOW -> OVER,323,51.39318885448917,-6.904024767801857,-16.761687306501546,2.8080495356037143
tm_over_rate_5 >=0.70 FADE -> UNDER,323,48.60681114551084,-4.102167182662542,-14.660603715170282,6.626006191950463
tm_over_rate_5 <=0.30 FOLLOW -> UNDER,222,50.45045045045045,-3.333333333333334,-15.99695945945946,9.54954954954955
tm_over_rate_5 <=0.30 FADE -> OVER,222,49.549549549549546,-7.522522522522522,-20.103603603603602,4.838513513513516
tm_over_rate_5 >=0.80 FOLLOW -> OVER,103,64.07766990291263,14.844660194174757,-1.9169902912621335,31.44781553398058
tm_over_rate_5 >=0.80 FADE -> UNDER,103,35.92233009708738,-27.611650485436893,-45.73907766990292,-8.553155339805825
lg_resid_mean_20 >=+1.5 FOLLOW -> OVER,704,51.13636363636363,-6.640625000000002,-13.320419034090907,-0.018181818181816755
lg_resid_mean_20 >=+1.5 FADE -> UNDER,704,48.86363636363637,-4.6022727272727275,-11.722585227272727,2.586896306818181
lg_resid_mean_20 <=-1.5 FOLLOW -> UNDER,527,49.146110056926,-5.064516129032259,-13.403605313092976,3.216366223908918
lg_resid_mean_20 <=-1.5 FADE -> OVER,527,50.853889943074,-5.544592030360533,-13.588282732447821,2.5029886148007585
lg_resid_mean_20 >=+3.0 FOLLOW -> OVER,437,50.57208237986271,-8.244851258581235,-16.653661327231124,0.17614416475973307
lg_resid_mean_20 >=+3.0 FADE -> UNDER,437,49.4279176201373,-2.9816933638443945,-12.060526315789474,6.132780320366133
lg_resid_mean_20 <=-3.0 FOLLOW -> UNDER,285,47.719298245614034,-7.971929824561405,-19.063684210526315,3.5699122807017583
lg_resid_mean_20 <=-3.0 FADE -> OVER,285,52.28070175438596,-3.017543859649124,-13.96517543859649,7.709736842105266
lg_resid_mean_20 >=+5.0 FOLLOW -> OVER,215,47.44186046511628,-15.334883720930234,-26.894186046511624,-3.6225581395348816
lg_resid_mean_20 >=+5.0 FADE -> UNDER,215,52.55813953488372,4.041860465116278,-8.990697674418605,16.91674418604651
lg_resid_mean_20 <=-5.0 FOLLOW -> UNDER,105,47.61904761904761,-8.095238095238097,-26.666904761904767,10.162380952380952
lg_resid_mean_20 <=-5.0 FADE -> OVER,105,52.38095238095239,-3.3238095238095235,-20.848809523809525,14.524047619047622
lg_resid_mean_40 >=+1.5 FOLLOW -> OVER,495,50.505050505050505,-7.985858585858588,-16.20853535353535,-0.03161616161615838
lg_resid_mean_40 >=+1.5 FADE -> UNDER,495,49.494949494949495,-2.8000000000000016,-11.339545454545457,6.148080808080809
lg_resid_mean_40 <=-1.5 FOLLOW -> UNDER,337,50.74183976261127,-2.489614243323445,-13.005934718100889,8.026928783382788
lg_resid_mean_40 <=-1.5 FADE -> OVER,337,49.25816023738873,-8.27299703264095,-18.700445103857568,1.8308605341246276
lg_resid_mean_40 >=+3.0 FOLLOW -> OVER,236,50.0,-10.326271186440678,-22.182521186440677,1.2671610169491545
lg_resid_mean_40 >=+3.0 FADE -> UNDER,236,50.0,-1.2118644067796622,-13.835381355932206,11.789936440677971
lg_resid_mean_40 <=-3.0 FOLLOW -> UNDER,166,48.795180722891565,-6.584337349397592,-21.4171686746988,7.525451807228918
lg_resid_mean_40 <=-3.0 FADE -> OVER,166,51.204819277108435,-4.096385542168676,-17.789156626506024,10.380120481927712
lg_resid_mean_40 >=+5.0 FOLLOW -> OVER,90,55.55555555555556,-2.8111111111111113,-21.00138888888889,14.668333333333338
lg_resid_mean_40 >=+5.0 FADE -> UNDER,90,44.44444444444444,-10.07777777777778,-30.344999999999995,10.623333333333333
lg_resid_mean_60 >=+1.5 FOLLOW -> OVER,476,50.63025210084034,-8.422268907563026,-16.41386554621849,-0.33965336134453555
lg_resid_mean_60 >=+1.5 FADE -> UNDER,476,49.36974789915966,-2.9810924369747926,-11.73356092436975,5.725
lg_resid_mean_60 <=-1.5 FOLLOW -> UNDER,245,50.204081632653065,-3.4244897959183667,-15.428673469387753,8.828673469387752
lg_resid_mean_60 <=-1.5 FADE -> OVER,245,49.795918367346935,-6.893877551020408,-18.747040816326535,4.698163265306123
lg_resid_mean_60 >=+3.0 FOLLOW -> OVER,155,50.967741935483865,-9.077419354838707,-23.123709677419356,4.414354838709681
lg_resid_mean_60 >=+3.0 FADE -> UNDER,155,49.03225806451613,-2.212903225806452,-17.343064516129033,13.769516129032263
lg_resid_mean_60 <=-3.0 FOLLOW -> UNDER,109,56.88073394495413,8.697247706422019,-8.825688073394494,26.0105504587156
lg_resid_mean_60 <=-3.0 FADE -> OVER,109,43.11926605504588,-19.211009174311926,-36.34059633027523,-1.8059633027522901
