cell,n,hit,roi,lo,hi
score-model |edge|>=2 follow,816,48.77450980392157,-8.33700980392157,-14.7109068627451,-1.8738357843137226
score-model |edge|>=2 over-only,422,50.0,-8.966824644549764,-17.573578199052136,-0.25349526066350775
score-model |edge|>=2 under-only,394,47.46192893401015,-7.662436548223351,-17.089974619289343,2.111865482233501
score-model |edge|>=3 follow,564,46.63120567375886,-12.113475177304963,-19.98599290780142,-4.23900709219858
score-model |edge|>=3 over-only,288,47.91666666666667,-12.531250000000002,-22.872135416666666,-1.7359375000000006
score-model |edge|>=3 under-only,276,45.289855072463766,-11.67753623188406,-22.97101449275362,-0.44538043478260914
score-model |edge|>=4 follow,364,48.9010989010989,-7.711538461538463,-16.97651098901099,1.9837912087912088
score-model |edge|>=4 over-only,177,51.9774011299435,-5.49717514124294,-18.4978813559322,7.842090395480224
score-model |edge|>=4 under-only,187,45.98930481283423,-9.807486631016042,-24.461229946524064,4.257620320855619
score-model |edge|>=5 follow,229,50.65502183406113,-3.829694323144105,-16.098034934497818,8.476528384279478
score-model |edge|>=5 over-only,104,53.84615384615385,-1.7115384615384612,-18.72331730769231,15.405288461538465
score-model |edge|>=5 under-only,125,48.0,-5.592000000000002,-23.120399999999997,11.4966
score-model |edge|>=7 follow,88,51.13636363636363,-1.7840909090909116,-22.353125000000002,18.261931818181818
score-model |edge|>=7 under-only,58,48.275862068965516,-3.879310344827589,-29.328448275862073,22.037068965517246
gbm-resid |edge|>=2 follow,504,51.98412698412699,-2.3531746031746046,-10.887152777777779,5.896130952380957
gbm-resid |edge|>=2 over-only,270,54.44444444444444,-1.8555555555555554,-12.740833333333333,8.44101851851852
gbm-resid |edge|>=2 under-only,234,49.14529914529914,-2.927350427350429,-16.061111111111114,9.590064102564103
gbm-resid |edge|>=3 follow,427,51.05386416861827,-3.8641686182669797,-12.546428571428574,4.980210772833726
gbm-resid |edge|>=3 over-only,228,53.07017543859649,-4.100877192982457,-15.947587719298246,7.527960526315796
gbm-resid |edge|>=3 under-only,199,48.743718592964825,-3.592964824120606,-17.142211055276388,9.593844221105527
gbm-resid |edge|>=4 follow,351,52.42165242165242,-1.068376068376068,-10.737962962962964,9.18233618233618
gbm-resid |edge|>=4 over-only,181,54.69613259668509,-1.0055248618784527,-14.663121546961328,11.93411602209945
gbm-resid |edge|>=4 under-only,170,50.0,-1.1352941176470601,-16.359558823529415,14.076617647058823
gbm-resid |edge|>=5 follow,283,54.416961130742045,2.9293286219081263,-8.011219081272085,13.62606007067138
gbm-resid |edge|>=5 over-only,148,54.054054054054056,-2.2229729729729724,-16.24459459459459,12.425675675675677
gbm-resid |edge|>=5 under-only,135,54.81481481481482,8.577777777777776,-8.459444444444445,25.49055555555556
gbm-resid |edge|>=7 follow,163,55.828220858895705,5.901840490797544,-8.591717791411044,20.17822085889571
gbm-resid |edge|>=7 over-only,88,57.95454545454546,5.625000000000002,-14.011363636363635,24.352272727272727
gbm-resid |edge|>=7 under-only,75,53.333333333333336,6.226666666666663,-17.52033333333334,29.494333333333337
