game_id,side,recon_ok,err,pts,fga,fgm,tpa,tpm,fta,ftm,oreb,dreb,opp_oreb,opp_dreb,opp_fga,opp_fgm,opp_tpa,opp_tpm,opp_fta,opp_pts,final
401537457,home,1,0,72,57,26,23,5,25,15,6,30,8,27,64,23,27,8,15,69,72
401537457,away,1,0,69,64,23,27,8,15,15,8,27,6,30,57,26,23,5,25,72,69
401537458,home,0,0,75,58,23,20,4,32,25,13,23,10,25,57,27,13,5,12,71,75
401537458,away,0,1,71,57,27,13,5,12,12,10,25,13,23,58,23,20,4,32,75,70
401537459,home,1,0,81,57,30,16,10,13,11,8,22,3,22,50,22,13,3,15,56,81
401537459,away,1,0,56,50,22,13,3,15,9,3,22,8,22,57,30,16,10,13,81,56
401535138,home,0,0,71,65,25,26,6,25,15,11,23,8,29,56,28,21,8,18,78,71
401535138,away,0,1,78,56,28,21,8,18,14,8,29,11,23,65,25,26,6,25,71,77
401537460,home,1,0,63,61,22,17,6,21,13,10,24,5,33,47,18,22,8,18,57,63
401537460,away,1,0,57,47,18,22,8,18,13,5,33,10,24,61,22,17,6,21,63,57
401537461,home,1,0,88,65,33,20,7,17,15,5,35,10,30,69,29,22,6,17,76,88
401537461,away,1,0,76,69,29,22,6,17,12,10,30,5,35,65,33,20,7,17,88,76
401535139,home,1,0,71,59,25,24,5,19,16,7,23,5,26,61,37,18,6,17,90,71
401535139,away,1,0,90,61,37,18,6,17,10,5,26,7,23,59,25,24,5,19,71,90
401537462,home,1,0,90,64,31,19,10,22,18,8,29,10,27,69,29,29,9,23,83,90
401537462,away,1,0,83,69,29,29,9,23,16,10,27,8,29,64,31,19,10,22,90,83
401525954,home,0,1,75,57,25,18,8,23,17,5,24,12,28,67,32,24,8,16,82,74
401525954,away,0,0,82,67,32,24,8,16,10,12,28,5,24,57,25,18,8,23,75,82
401545052,home,1,0,84,67,30,25,10,17,14,8,30,5,28,64,28,29,11,10,77,84
401545052,away,1,0,77,64,28,29,11,10,10,5,28,8,30,67,30,25,10,17,84,77
401537464,home,1,0,68,60,19,18,4,32,26,9,21,12,39,66,33,15,5,20,85,68
401537464,away,1,0,85,66,33,15,5,20,14,12,39,9,21,60,19,18,4,32,68,85
401507130,home,1,0,61,60,22,24,6,19,11,8,27,12,31,61,21,16,4,32,70,61
401507130,away,1,0,70,61,21,16,4,32,24,12,31,8,27,60,22,24,6,19,61,70
401507131,home,1,0,80,68,32,22,6,11,10,3,29,8,32,63,23,30,7,14,64,80
401507131,away,1,0,64,63,23,30,7,14,11,8,32,3,29,68,32,22,6,11,80,64
401507132,home,0,0,66,55,21,22,6,21,18,11,29,7,28,64,31,21,8,6,76,66
401507132,away,0,-1,76,64,31,21,8,6,6,7,28,11,29,55,21,22,6,21,66,77
401507133,home,1,0,94,65,29,21,9,29,27,11,21,6,28,57,24,21,6,20,71,94
401507133,away,1,0,71,57,24,21,6,20,17,6,28,11,21,65,29,21,9,29,94,71
401507135,home,0,1,86,68,27,31,10,26,22,13,27,17,28,77,29,33,10,14,79,85
401507135,away,0,1,79,77,29,33,10,14,11,17,28,13,27,68,27,31,10,26,86,78
401507134,home,1,0,64,70,25,20,5,15,9,6,26,6,44,67,40,18,11,17,105,64
401507134,away,1,0,105,67,40,18,11,17,14,6,44,6,26,70,25,20,5,15,64,105
401507136,home,1,0,80,63,25,18,5,36,25,8,38,4,34,66,27,21,3,22,74,80
401507136,away,1,0,74,66,27,21,3,22,17,4,34,8,38,63,25,18,5,36,80,74
401507137,home,1,0,90,64,33,27,14,11,10,7,29,12,23,68,26,20,5,21,73,90
401507137,away,1,0,73,68,26,20,5,21,16,12,23,7,29,64,33,27,14,11,90,73
401507138,home,1,0,69,51,23,14,5,24,18,3,26,11,28,62,28,15,6,19,75,69
401507138,away,1,0,75,62,28,15,6,19,13,11,28,3,26,51,23,14,5,24,69,75
401507139,home,1,0,81,61,27,27,8,21,19,12,21,6,24,60,29,22,8,30,88,81
401507139,away,1,0,88,60,29,22,8,30,22,6,24,12,21,61,27,27,8,21,81,88
401507140,home,1,0,77,61,30,19,6,15,11,10,23,11,22,68,29,24,7,20,83,77
401507140,away,1,0,83,68,29,24,7,20,18,11,22,10,23,61,30,19,6,15,77,83
401507141,home,0,0,85,70,32,19,7,20,14,6,24,5,32,55,31,24,11,28,95,85
401507141,away,0,1,95,55,31,24,11,28,22,5,32,6,24,70,32,19,7,20,85,94
401507142,home,1,0,90,55,28,28,13,23,21,6,27,6,19,65,28,18,3,25,81,90
401507142,away,1,0,81,65,28,18,3,25,22,6,19,6,27,55,28,28,13,23,90,81
401507143,home,1,0,69,57,27,20,6,13,9,3,29,7,26,60,24,17,7,20,71,69
401507143,away,1,0,71,60,24,17,7,20,16,7,26,3,29,57,27,20,6,13,69,71
401507144,home,0,1,92,66,31,26,11,20,19,9,25,8,24,67,37,20,8,13,95,91
401507144,away,0,0,95,67,37,20,8,13,13,8,24,9,25,66,31,26,11,20,92,95
401507145,home,1,0,81,64,32,21,9,13,8,11,28,10,23,58,22,23,8,16,65,81
401507145,away,1,0,65,58,22,23,8,16,13,10,23,11,28,64,32,21,9,13,81,65
401507146,home,1,0,93,77,37,31,9,12,10,9,29,6,27,60,25,22,8,9,65,93
401507146,away,1,0,65,60,25,22,8,9,7,6,27,9,29,77,37,31,9,12,93,65
401507147,home,0,1,88,63,25,21,9,34,29,7,22,12,31,72,35,27,11,12,90,87
401507147,away,0,0,90,72,35,27,11,12,9,12,31,7,22,63,25,21,9,34,88,90
401507148,home,0,0,94,72,34,19,6,25,20,15,29,9,23,75,32,29,10,17,89,94
401507148,away,0,1,89,75,32,29,10,17,15,9,23,15,29,72,34,19,6,25,94,88
401507149,home,1,0,94,70,32,39,14,17,16,4,32,8,32,64,26,21,7,17,73,94
401507149,away,1,0,73,64,26,21,7,17,14,8,32,4,32,70,32,39,14,17,94,73
401507150,home,1,0,83,65,30,12,5,24,18,6,35,11,33,69,25,18,6,11,65,83
401507150,away,1,0,65,69,25,18,6,11,9,11,33,6,35,65,30,12,5,24,83,65
401507151,home,1,0,81,66,29,21,7,22,16,14,31,10,27,69,31,20,4,14,78,81
401507151,away,1,0,78,69,31,20,4,14,12,10,27,14,31,66,29,21,7,22,81,78
401507152,home,1,0,94,73,33,23,8,22,20,12,24,7,27,63,33,18,9,17,89,94
401507152,away,1,0,89,63,33,18,9,17,14,7,27,12,24,73,33,23,8,22,94,89
401507153,home,0,1,79,62,28,18,7,21,16,12,23,3,29,54,28,25,9,23,86,78
401507153,away,0,0,86,54,28,25,9,23,21,3,29,12,23,62,28,18,7,21,79,86
401507154,home,1,0,84,56,27,20,8,26,22,9,23,9,20,68,36,23,7,11,89,84
401507154,away,1,0,89,68,36,23,7,11,10,9,20,9,23,56,27,20,8,26,84,89
401507157,home,1,0,76,64,30,19,11,7,5,10,28,3,25,64,31,26,9,7,77,76
401507157,away,1,0,77,64,31,26,9,7,6,3,25,10,28,64,30,19,11,7,76,77
401507155,home,1,0,75,57,19,23,8,31,29,4,36,11,34,73,26,32,9,16,74,75
401507155,away,1,0,74,73,26,32,9,16,13,11,34,4,36,57,19,23,8,31,75,74
401507156,home,1,0,87,70,34,22,10,10,9,6,30,5,26,67,33,21,6,25,92,87
401507156,away,1,0,92,67,33,21,6,25,20,5,26,6,30,70,34,22,10,10,87,92
401507158,home,1,0,93,59,32,24,8,26,21,6,23,8,21,70,37,24,8,19,99,93
401507158,away,1,0,99,70,37,24,8,19,17,8,21,6,23,59,32,24,8,26,93,99
401507159,home,1,0,78,71,28,30,9,14,13,7,24,7,32,60,28,24,9,17,80,78
401507159,away,1,0,80,60,28,24,9,17,15,7,32,7,24,71,28,30,9,14,78,80
401507160,home,1,0,92,59,31,18,7,27,23,7,27,6,31,64,30,24,13,16,85,92
401507160,away,1,0,85,64,30,24,13,16,12,6,31,7,27,59,31,18,7,27,92,85
401507161,home,1,0,80,60,28,16,5,23,19,6,28,11,22,64,24,26,9,19,74,80
401507161,away,1,0,74,64,24,26,9,19,17,11,22,6,28,60,28,16,5,23,80,74
401507162,home,1,0,82,66,33,23,6,14,10,7,34,6,28,66,30,22,9,27,86,82
401507162,away,1,0,86,66,30,22,9,27,17,6,28,7,34,66,33,23,6,14,82,86
401507163,home,1,0,80,65,31,19,11,10,7,4,35,6,29,70,32,21,4,22,84,80
401507163,away,1,0,84,70,32,21,4,22,16,6,29,4,35,65,31,19,11,10,80,84
401507164,home,1,0,84,65,29,27,10,23,16,10,24,5,26,61,32,15,4,26,90,84
401507164,away,1,0,90,61,32,15,4,26,22,5,26,10,24,65,29,27,10,23,84,90
401507165,home,1,0,108,74,38,20,9,25,23,4,21,10,25,71,40,20,9,16,103,108
401507165,away,1,0,103,71,40,20,9,16,14,10,25,4,21,74,38,20,9,25,108,103
401507166,home,1,0,66,65,22,19,4,22,18,9,28,3,30,51,22,15,5,16,63,66
401507166,away,1,0,63,51,22,15,5,16,14,3,30,9,28,65,22,19,4,22,66,63
401507168,home,1,0,84,71,30,23,4,27,20,15,35,4,22,64,31,24,7,13,79,84
401507168,away,1,0,79,64,31,24,7,13,10,4,22,15,35,71,30,23,4,27,84,79
401507169,home,1,0,94,65,37,14,8,16,12,10,24,5,21,58,28,20,9,17,77,94
401507169,away,1,0,77,58,28,20,9,17,12,5,21,10,24,65,37,14,8,16,94,77
401507170,home,1,0,83,58,30,18,9,22,14,5,29,9,28,72,34,30,14,26,106,83
401507170,away,1,0,106,72,34,30,14,26,24,9,28,5,29,58,30,18,9,22,83,106
401507171,home,1,0,90,72,32,29,8,19,18,17,24,8,23,59,30,20,4,17,77,90
401507171,away,1,0,77,59,30,20,4,17,13,8,23,17,24,72,32,29,8,19,90,77
401507172,home,1,0,69,61,24,16,5,20,16,6,32,6,28,66,28,20,6,13,71,69
401507172,away,1,0,71,66,28,20,6,13,9,6,28,6,32,61,24,16,5,20,69,71
401507173,home,1,0,77,63,28,20,3,22,18,10,32,7,27,66,27,23,4,8,62,77
401507173,away,1,0,62,66,27,23,4,8,4,7,27,10,32,63,28,20,3,22,77,62
401507174,home,1,0,66,58,25,22,6,14,10,2,28,13,28,62,26,21,6,18,73,66
401507174,away,1,0,73,62,26,21,6,18,15,13,28,2,28,58,25,22,6,14,66,73
401507175,home,1,0,102,67,39,28,13,14,11,5,33,14,23,79,32,22,6,28,93,102
