game_id,player,side,nfoul,t3,f3_h1,t2,times
401537457,Tiffany Mitchell,home,4,2085.0,0,232.0,28|232|2085|2215
401537457,Jazmine Jones,away,3,1967.0,0,396.0,123|396|1967
401537457,Amanda Zahui B.,away,1,,0,,163
401537457,Ariel Atkins,away,2,,0,306.0,249|306
401537457,Stephanie Jones,away,2,,0,2359.8,276|2360
401537457,Rachel Banham,home,3,1759.0,0,910.0,501|910|1759
401537457,Diamond Miller,home,4,1435.0,0,995.0,751|995|1435|1923
401537457,Emily Engstler,away,1,,0,,809
401537457,Elena Tsineke,away,6,1884.0,0,1810.0,939|1810|1884|2298|2347|2382
401537457,Natasha Cloud,away,2,,0,1600.0,1032|1600
401537457,Lindsay Allen,home,1,,0,,1335
401537457,Taylor Soule,home,1,,0,,1641
401537457,Alisia Jenkins,away,2,,0,2090.0,1909|2090
401537457,Tianna Hawkins,away,1,,0,,1913
401537457,Napheesa Collier,home,2,,0,2063.0,2032|2063
401537457,Evina Westbrook,away,1,,0,,2231
401537457,Stephanie Watts,home,1,,0,,2341
401537457,Maya Dodson,home,1,,0,,2389
401537458,Natasha Howard,home,3,1343.0,0,154.0,112|154|1343
401537458,Elizabeth Williams,away,5,1328.0,0,1296.0,293|1296|1328|2137|2323
401537458,Isabelle Harrison,away,4,878.0,1,441.0,360|441|878|1607
401537458,Feyonda Fitzgerald,away,3,614.0,1,535.0,470|535|614
401537458,Teaira McCowan,home,2,,0,2282.0,566|2282
401537458,Alanna Smith,away,1,,0,,628
401537458,Kahleah Copper,away,4,1421.0,0,945.0,681|945|1421|1958
401537458,James Wade,away,1,,0,,878
401537458,Jasmine Dickey,home,2,,0,1519.0,905|1519
401537458,Morgan Bertsch,away,1,,0,,997
401537458,Abby Meyers,home,1,,0,,1023
401537458,Charli Collier,home,3,2026.0,0,1808.0,1085|1808|2026
401537458,Kristine Anigwe,away,1,,0,,1100
401537458,Kayana Traylor,away,1,,0,,1146
401537458,Angel Baker,away,1,,0,,1162
401537458,Veronica Burton,home,2,,0,1451.0,1256|1451
401537458,Arike Ogunbowale,home,2,,0,1460.0,1290|1460
401537458,Rebekah Gardner,away,2,,0,1663.0,1564|1663
401537458,Ashley Joens,home,1,,0,,1676
401537458,Satou Sabally,home,1,,0,,1776
401537458,Dana Evans,away,2,,0,2387.0,2051|2387
401537458,Awak Kuier,home,1,,0,,2068
401537459,Aliyah Boston,away,3,1464.0,0,1351.0,163|1351|1464
401537459,Elizabeth Williams,home,1,,0,,192
