slate,leg1,mk1,line1,odds1,leg2,mk2,line2,odds2,combined_odds,same_game,logged_utc,result,pnl
2026-08-15,Dearica Hamby,pr,20.5,1.73,NaLyssa Smith,pr,17.5,1.87,3.2351,0,2026-08-15T23:04:30Z,loss,-1.0
2026-08-18,Angel Reese,pr,28.5,1.909,Jackie Young,pr,22.5,1.87,3.5698,1,2026-08-18T22:34:14Z,WIN,2.57
2026-08-19,Kayla Thornton,pts,8.5,1.95,Napheesa Collier,pra,28.5,1.87,3.6465,1,2026-08-19T23:04:35Z,loss,-1.0
2026-08-20,Kayla Thornton,pts,8.5,1.95,Napheesa Collier,pra,28.5,1.833,3.5743,1,2026-08-20T01:43:41Z,,
2026-08-21,Kamilla Cardoso,pra,24.5,1.87,Sydney Taylor,pra,15.5,1.83,3.4221,1,2026-08-21T23:21:00Z,WIN,2.422
2026-07-02,Kiki Iriafen,pra,24.5,1.909,Michaela Onyenwere,pts,9.5,1.83,3.4935,1,2026-07-02T22:30:00Z,loss,-1.0
2026-07-04,Rhyne Howard,pr,21.5,2.0,Megan Gustafson,pr,15.5,1.73,3.46,0,2026-07-04T16:00:00Z,WIN,2.46
2026-07-06,Michaela Onyenwere,pts,9.5,1.893,Natasha Howard,pts,16.5,1.8,3.4074,0,2026-07-06T22:30:00Z,loss,-1.0
2026-07-06,Flau'jae Johnson,pra,20.5,1.769,Natisha Hiedeman,pra,22.5,1.73,3.0604,1,2026-07-06T22:30:00Z,WIN,2.06
2026-07-11,Breanna Stewart,pra,30.5,1.8,Jonquel Jones,pra,26.5,1.8,3.24,1,2026-07-11T16:00:00Z,loss,-1.0
2026-07-11,Kayla McBride,pts,15.5,2.0,Olivia Miles,pra,27.5,1.8,3.6,1,2026-07-11T16:00:00Z,WIN,2.6
2026-07-12,Kiki Iriafen,pra,25.5,1.833,Natisha Hiedeman,pr,16.5,1.833,3.3599,1,2026-07-12T18:00:00Z,WIN,2.36
2026-07-12,Aliyah Boston,pr,25.5,1.833,Kelsey Mitchell,pra,26.5,1.833,3.3599,1,2026-07-12T18:00:00Z,WIN,2.36
2026-07-15,Aliyah Boston,pr,25.5,1.909,Kelsey Mitchell,pra,25.5,1.91,3.6462,1,2026-07-15T15:00:00Z,loss,-1.0
2026-07-17,Aliyah Boston,pr,25.5,1.909,Maria Conde,pra,16.5,2.0,3.818,1,2026-07-17T22:30:00Z,,
2026-07-17,Nneka Ogwumike,pra,28.5,1.909,Brittney Griner,pr,19.5,1.833,3.4992,0,2026-07-17T22:30:00Z,loss,-1.0
2026-07-19,Nneka Ogwumike,pts,17.5,1.85,Paige Bueckers,pra,33.5,1.8,3.33,1,2026-07-19T16:00:00Z,loss,-1.0
2026-07-19,Kamilla Cardoso,pra,23.5,1.8,Kahleah Copper,pr,24.5,1.833,3.2994,0,2026-07-19T16:00:00Z,loss,-1.0
2026-07-22,Dewanna Bonner,pr,14.5,1.8,Jonquel Jones,pr,23.5,1.909,3.4362,0,2026-07-22T18:00:00Z,WIN,2.436
2026-07-22,Kamilla Cardoso,pra,22.5,1.8,Aliyah Boston,pr,21.5,1.73,3.114,0,2026-07-22T18:00:00Z,loss,-1.0
2026-07-31,Arike Ogunbowale,pts,14.5,1.76,Jessica Shepard,pr,25.5,1.8,3.168,1,2026-07-31T22:30:00Z,loss,-1.0
2026-07-31,Paige Bueckers,pts,19.5,1.76,Carla Leite,pra,23.5,1.8,3.168,0,2026-07-31T22:30:00Z,WIN,2.168
2026-08-02,Courtney Williams,pra,20.5,1.769,Kelsey Mitchell,pra,26.5,1.8,3.1842,1,2026-08-02T16:00:00Z,WIN,2.184
2026-08-02,Kelsey Plum,pts,14.5,1.769,Nneka Ogwumike,pra,29.5,1.769,3.1294,1,2026-08-02T16:00:00Z,,
2026-08-02,Arike Ogunbowale,pra,21.5,1.87,Jessica Shepard,pr,25.5,1.909,3.5698,1,2026-08-02T16:00:00Z,loss,-1.0
2026-08-03,Angel Reese,pra,29.5,1.8,Breanna Stewart,pra,34.5,1.87,3.366,1,2026-08-03T22:00:00Z,WIN,2.366
2026-08-03,Dominique Malonga,pra,25.5,2.0,Alyssa Thomas,pts,14.5,1.769,3.538,0,2026-08-03T22:00:00Z,loss,-1.0
2026-08-05,Arike Ogunbowale,pts,14.5,1.952,Shakira Austin,pr,25.5,1.8,3.5136,1,2026-08-05T22:00:00Z,WIN,2.514
2026-08-07,Angel Reese,pts,15.5,1.909,Arike Ogunbowale,pts,14.5,1.833,3.4992,0,2026-08-07T22:30:00Z,loss,-1.0
2026-08-09,Jackie Young,pra,29.5,1.833,Shakira Austin,pr,27.5,1.8,3.2994,0,2026-08-09T15:30:00Z,,
2026-08-09,Kayla McBride,pr,17.5,1.952,Olivia Miles,pr,23.5,1.833,3.578,1,2026-08-09T15:30:00Z,loss,-1.0
2026-08-09,Dearica Hamby,pts,14.5,1.75,Nneka Ogwumike,pts,14.5,1.75,3.0625,1,2026-08-09T15:30:00Z,loss,-1.0
2026-08-11,Kelsey Mitchell,pts,24.5,1.86,Jackie Young,pts,18.5,1.84,3.4224,0,2026-08-11T22:30:00Z,WIN,2.422
2026-08-13,Angel Reese,pts,16.5,1.85,Diamond Miller,pts,9.5,1.78,3.293,1,2026-08-13T22:00:00Z,loss,-1.0
2026-08-23,Kelsey Mitchell,pra,29.5,1.83,Kiki Iriafen,pra,25.5,1.833,3.3544,1,2026-08-23T17:03:35Z,WIN,2.354
2026-07-19,Jonquel Jones,pra,25.5,1.73,Kayla McBride,pra,23.5,1.8,3.114,1,2026-07-18T23:00:00Z,,
2026-07-19,Gabby Williams,pr,15.5,1.83,Sonia Citron,pr,17.5,1.73,3.1659,1,2026-07-18T23:00:00Z,,
2026-07-21,Jonquel Jones,pr,23.5,1.952,Paige Bueckers,pra,33.5,1.87,3.6502,1,2026-07-20T23:00:00Z,,
