captured_utc,player,market,side,line,odds
2026-06-13T20:07:12+00:00,Saniya Rivers,pra,Over,15.5,2.0
2026-06-13T21:37:11+00:00,Saniya Rivers,pra,Over,15.5,2.0
2026-06-13T21:37:11+00:00,Jackie Young,pra,Over,26.5,1.73
2026-06-13T22:44:49+00:00,Jackie Young,pra,Over,26.5,1.73
2026-06-13T23:48:23+00:00,Jackie Young,pra,Over,26.5,1.73
2026-06-14T10:59:14+00:00,Shakira Austin,pts,Under,15.5,1.9
2026-06-14T10:59:14+00:00,Shakira Austin,pr,Under,24.5,1.952
2026-06-14T10:59:14+00:00,Shakira Austin,pra,Under,27.5,2.0
2026-06-14T10:59:14+00:00,Breanna Stewart,pra,Over,32.5,1.952
2026-06-14T10:59:14+00:00,Jonquel Jones,pra,Over,24.5,1.73
2026-06-14T10:59:14+00:00,Angel Reese,pra,Over,30.5,1.91
